,Villainess,Overhyped,Silver Valley,Good Charlotte,Barney Sun,My Shout Zoe,Nick The Quick,Dr Topaz
11-01-2023 20:17:29.160649,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:30.410283,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:31.571142,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:32.758574,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:33.936295,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:35.060044,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:36.367530,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:37.662709,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:38.944217,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:40.357546,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:41.688841,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:42.873003,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:44.033891,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:45.276286,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:46.502326,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:47.699375,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:48.958022,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:50.217879,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:51.474335,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:52.827255,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:54.110781,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.525)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
