,Dr Greenthumb,On The Edge,Grillo,Zs So Good,Round Robin,Mr Jekyll
12-01-2023 09:32:04.196882,"(2.6, 3.15, 3.14375)","(16.0, 26.0, 24.666666666666668)","(21.0, 34.0, 28.0)","(1.95, 2.3, 2.2846153846153845)","(5.5, 6.6, 6.24)","(31.0, 99999, 99990)"
12-01-2023 09:32:05.190016,"(2.6, 3.2, 3.178571428571429)","(16.0, 26.0, 24.666666666666668)","(21.0, 34.0, 28.0)","(1.95, 2.3, 2.2846153846153845)","(5.5, 6.6, 6.24)","(31.0, 99999, 99990)"
12-01-2023 09:32:06.221252,"(2.6, 3.2, 3.09)","(16.0, 26.0, 24.666666666666668)","(21.0, 34.0, 28.0)","(1.95, 2.28, 2.2774193548387096)","(5.5, 6.6, 6.24)","(31.0, 99999, 99990)"
12-01-2023 09:32:07.375019,"(2.6, 3.2, 3.1842857142857146)","(16.0, 26.0, 24.666666666666668)","(21.0, 34.0, 26.125)","(1.95, 2.28, 2.2777777777777777)","(5.5, 6.6, 6.24)","(31.0, 99999, 99990)"
12-01-2023 09:32:08.487559,"(2.6, 3.2, 3.1500000000000004)","(16.0, 26.0, 24.666666666666668)","(21.0, 34.0, 26.125)","(1.95, 2.26, 2.257894736842105)","(5.5, 6.6, 6.24)","(31.0, 99999, 99990)"
12-01-2023 09:32:09.595540,"(2.6, 3.2, 3.1906250000000003)","(17.0, 26.0, 24.666666666666668)","(21.0, 34.0, 26.125)","(1.9, 2.26, 2.256190476190476)","(5.5, 6.6, 6.24)","(51.0, 99999, 99990)"
12-01-2023 09:32:10.563308,"(2.6, 3.25, 3.0599999999999996)","(17.0, 26.0, 24.666666666666668)","(21.0, 34.0, 26.0)","(1.9, 2.26, 2.253846153846154)","(5.5, 6.6, 6.24)","(51.0, 99999, 99990)"
12-01-2023 09:32:11.464304,"(2.6, 3.25, 3.1558823529411764)","(17.0, 26.0, 24.666666666666668)","(21.0, 34.0, 26.0)","(1.9, 2.26, 2.252)","(5.5, 6.6, 6.24)","(51.0, 99999, 99990)"
12-01-2023 09:32:12.426034,"(2.6, 3.15, 3.1399999999999997)","(17.0, 26.0, 24.666666666666668)","(21.0, 34.0, 26.0)","(1.9, 2.26, 2.2475)","(5.5, 6.6, 6.5)","(51.0, 99999, 99990)"
12-01-2023 09:32:13.445549,"(2.6, 3.3, 3.248148148148148)","(17.0, 26.0, 24.666666666666668)","(21.0, 34.0, 26.0)","(1.9, 2.26, 2.2418181818181817)","(5.5, 6.6, 6.5)","(51.0, 99999, 99990)"
12-01-2023 09:32:14.468724,"(2.6, 3.3, 3.2823529411764705)","(17.0, 26.0, 24.58823529411765)","(21.0, 34.0, 27.25)","(1.9, 2.22, 2.2183333333333337)","(5.5, 6.8, 6.776774193548387)","(51.0, 99999, 99990)"
12-01-2023 09:32:15.494203,"(2.6, 3.25, 3.24375)","(17.0, 26.0, 24.58823529411765)","(21.0, 34.0, 28.0)","(1.9, 2.22, 2.218571428571429)","(5.5, 6.8, 6.777922077922078)","(51.0, 99999, 99990)"
12-01-2023 09:32:16.576612,"(2.6, 3.25, 3.242857142857143)","(17.0, 26.0, 24.58823529411765)","(21.0, 34.0, 28.0)","(1.9, 2.22, 2.214857142857143)","(5.5, 6.8, 6.777922077922078)","(51.0, 99999, 99990)"
12-01-2023 09:32:17.600939,"(2.6, 3.3, 3.2375)","(17.0, 26.0, 22.4)","(21.0, 34.0, 26.285714285714285)","(1.9, 2.2, 2.1742857142857144)","(5.5, 6.8, 6.777922077922078)","(51.0, 99999, 99990)"
12-01-2023 09:32:18.587758,"(2.6, 3.3, 3.2857142857142856)","(17.0, 26.0, 20.545454545454547)","(21.0, 34.0, 26.285714285714285)","(1.9, 2.24, 2.1824000000000003)","(5.5, 6.8, 6.777922077922078)","(51.0, 99999, 99990)"
