,Tricky Shacoby,Sammy Buttons,Tap Out Diesel,Lady On Fire,Skyla Blue,Monday Blues,Blazin Shirl,Black Book
04-01-2023 15:42:47.443879,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:48.659459,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:49.938527,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:51.144726,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:52.384755,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:53.631228,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:54.921614,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:56.166311,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:57.391988,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:42:58.668775,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
