,Spring Bistro,Inner Tea Cup,Spring Axel,Bernie Boom,Barefoot Wah Wah,Black Monaro,Coonamble Kid,Spring Gault
06-01-2023 15:17:20.030672,"(3.1, 5.9, 3.74)","(9.0, 25.0, 21.92)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.6, 6.84)","(20.0, 65.0, 53.375)","(9.0, 28.0, 23.866666666666667)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:21.080813,"(3.1, 5.9, 3.74)","(9.0, 25.0, 21.92)","(31.0, 110.0, 96.33333333333333)","(6.0, 9.0, 6.84)","(20.0, 65.0, 53.375)","(9.0, 28.0, 25.675000000000004)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:22.085751,"(3.1, 5.9, 3.74)","(9.0, 25.0, 21.92)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.760000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 25.675000000000004)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:23.096407,"(3.1, 5.9, 3.74)","(9.0, 25.0, 21.92)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.760000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 23.866666666666667)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:24.237292,"(3.1, 5.9, 3.74)","(9.0, 25.0, 17.4)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.760000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 15.733333333333333)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:25.372641,"(3.1, 5.9, 3.74)","(9.0, 25.0, 17.4)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.760000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 15.733333333333333)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:26.432468,"(3.1, 5.9, 3.74)","(9.0, 24.0, 21.6)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.760000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 15.733333333333333)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:27.481535,"(3.1, 5.9, 3.74)","(9.0, 24.0, 21.942857142857143)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 8.200000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 15.733333333333333)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:28.542157,"(3.1, 5.9, 3.74)","(9.0, 24.0, 21.942857142857143)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 15.733333333333333)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:29.700896,"(3.1, 5.9, 3.74)","(9.0, 24.0, 21.942857142857143)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
