,Mariahs Shadow,Wemen Bella,Sheza Manipulator Nz,Aces Daughter,Delightful Gnp Nz,Honeybun,Rosiano
07-01-2023 21:12:23.297522,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:24.601382,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:25.801642,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:26.923683,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:28.031264,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:29.098021,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:30.135331,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:31.200680,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:32.276515,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:33.481259,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:34.818917,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:35.934553,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:36.998538,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
