,Remember Lee,Val Ali,Sambuca Talks,Magic Tale,Bernardo Bowl,Jalapeno Jewel,Shifty And Shady,Gossamer
06-01-2023 11:39:52.216410,"(14.0, 34.0, 32.04545454545455)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:39:53.704850,"(14.0, 34.0, 32.04545454545455)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:39:54.972729,"(14.0, 34.0, 32.04545454545455)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:39:56.355992,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:39:57.994395,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:39:59.438424,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:00.943823,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:02.417114,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:03.692666,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:04.975101,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:06.208061,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:07.462602,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:08.688557,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:09.983934,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:11.267680,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:12.568872,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:13.695417,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:14.806721,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:16.106847,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:17.389937,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:18.592594,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:19.912170,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:21.404648,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:22.808601,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:24.435685,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:26.001499,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:27.529632,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:28.929571,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:30.221683,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:31.508738,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:32.844663,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:34.147354,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:35.434669,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:36.823166,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:38.166770,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:39.511518,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:40.851490,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:42.130175,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
