,Straight Shot,Defer Fire,Big Time Express,Big Time Epic,Adobe Don,Just Like Lucy,Livin On Love
04-01-2023 11:15:24.434952,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:25.459356,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:26.566444,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:27.649037,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:28.690058,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:29.721263,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:30.817955,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:31.825037,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:32.776571,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:33.771506,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:34.712167,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:35.681378,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:36.685778,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:37.694799,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:38.656543,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:39.620211,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:40.547368,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:41.485251,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:42.379265,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:43.340468,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:44.252416,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:45.168727,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:46.094765,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:47.240022,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
04-01-2023 11:15:48.177503,"(12.0, 28.0, 25.8125)","(3.8, 12.0, 9.8)","(3.0, 8.8, 5.9)","(2.4, 3.4, 3.016)","(21.0, 130.0, 89.10714285714286)","(21.0, 130.0, 75.0)","(8.5, 17.5, 14.785714285714286)"
