,The Englishman,Gago,Were Da Ya Get It,West Cork,Huracanevo,Utopian Spirit,Moscow Night,Esky,Pure Hydrogen,Romeos Choice
11-01-2023 13:12:25.164316,"(3.2, 3.85, 3.805739795918367)","(26.0, 32.0, 31.36842105263158)","(5.0, 5.8, 5.788235294117647)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.726315789473684)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.205128205128205)","(31.0, 55.0, 53.57142857142857)","(11.0, 15.0, 14.711538461538462)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:26.354452,"(3.2, 3.85, 3.805739795918367)","(26.0, 32.0, 31.36842105263158)","(5.0, 5.8, 5.788235294117647)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.726315789473684)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.205128205128205)","(31.0, 55.0, 53.57142857142857)","(11.0, 15.0, 14.711538461538462)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:27.601670,"(3.2, 3.85, 3.805739795918367)","(26.0, 32.0, 31.36842105263158)","(5.0, 5.8, 5.788235294117647)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.726315789473684)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.205128205128205)","(31.0, 55.0, 53.57142857142857)","(11.0, 15.0, 14.711538461538462)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:28.909812,"(3.2, 3.85, 3.805964467005076)","(26.0, 32.0, 31.36842105263158)","(5.0, 5.8, 5.788235294117647)","(15.0, 18.0, 16.764705882352942)","(6.5, 8.0, 7.726315789473684)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.205128205128205)","(31.0, 55.0, 53.57142857142857)","(11.0, 15.0, 14.711538461538462)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:30.141196,"(3.2, 3.85, 3.805964467005076)","(26.0, 32.0, 31.36842105263158)","(5.0, 5.8, 5.788235294117647)","(15.0, 18.0, 16.764705882352942)","(6.5, 8.0, 7.726315789473684)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.205128205128205)","(31.0, 55.0, 53.57142857142857)","(11.0, 15.0, 14.711538461538462)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:31.393089,"(3.2, 3.85, 3.805964467005076)","(26.0, 32.0, 31.36842105263158)","(5.0, 5.8, 5.788235294117647)","(15.0, 18.0, 16.764705882352942)","(6.5, 8.0, 7.726315789473684)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.205128205128205)","(31.0, 55.0, 53.57142857142857)","(11.0, 15.0, 14.758064516129032)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:32.661085,"(3.2, 3.85, 3.805964467005076)","(26.0, 32.0, 31.36842105263158)","(5.0, 5.8, 5.788235294117647)","(15.0, 17.0, 16.137931034482758)","(6.5, 8.0, 7.726315789473684)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.248)","(31.0, 55.0, 53.57142857142857)","(11.0, 15.0, 14.758064516129032)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:33.903529,"(3.2, 3.85, 3.805964467005076)","(26.0, 32.0, 31.36842105263158)","(5.0, 5.8, 5.788235294117647)","(15.0, 17.0, 16.137931034482758)","(6.5, 8.0, 7.726315789473684)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.248)","(31.0, 55.0, 53.57142857142857)","(11.0, 15.0, 14.758064516129032)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:35.170318,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 34.62068965517241)","(5.0, 5.8, 5.788235294117647)","(15.0, 17.0, 16.11764705882353)","(6.5, 8.0, 7.736231884057971)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.256603773584906)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.758064516129032)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:36.439880,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 34.92307692307692)","(5.0, 5.8, 5.788235294117647)","(15.0, 17.0, 16.11764705882353)","(6.5, 8.0, 7.736231884057971)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.256603773584906)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.758064516129032)","(26.0, 32.0, 30.666666666666668)"
