,Venting,Stately Star,Laelaps,Alchian,Sheezabigdeel,Master Of Zerprise,Sports Idol,Raise The Colours,If You Leave,Albanian Eagle,Chattering,Bungalally Babe
06-01-2023 13:45:37.362136,"(7.5, 11.0, 9.68)","(13.0, 16.5, 16.0)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.68)","(6.0, 6.6, 5.85)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 28.0)","(7.0, 8.4, 8.22857142857143)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 12.0)","(41.0, 95.0, 89.16666666666666)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:39.282241,"(7.5, 10.5, 9.65)","(13.0, 16.5, 15.625)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.68)","(6.0, 6.6, 6.1)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 28.0)","(7.0, 8.4, 8.22857142857143)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 11.884615384615385)","(41.0, 95.0, 89.16666666666666)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:41.256566,"(7.5, 10.5, 9.65)","(13.0, 16.5, 15.1)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.68)","(6.0, 6.6, 5.925)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(7.0, 8.4, 8.22857142857143)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 11.884615384615385)","(41.0, 75.0, 63.0)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:43.082219,"(7.5, 10.5, 9.65)","(13.0, 16.5, 15.1)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.68)","(6.0, 6.6, 6.15)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(7.0, 8.4, 8.1)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 11.884615384615385)","(41.0, 75.0, 63.0)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:44.900604,"(7.5, 10.5, 9.65)","(13.0, 16.5, 15.5)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.68)","(6.0, 6.6, 6.15)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(7.0, 8.4, 8.1)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 11.884615384615385)","(41.0, 75.0, 63.0)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:46.584784,"(7.5, 10.5, 9.65)","(13.0, 16.5, 15.722222222222221)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.68)","(6.0, 6.6, 6.15)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(7.0, 8.4, 8.1)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 11.884615384615385)","(41.0, 75.0, 63.0)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:48.092088,"(7.5, 10.5, 9.65)","(13.0, 16.5, 15.722222222222221)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.68)","(6.0, 6.6, 6.15)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(7.0, 8.4, 8.1)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 11.884615384615385)","(41.0, 75.0, 63.0)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:49.720809,"(7.5, 10.5, 9.75)","(13.0, 16.5, 15.722222222222221)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.68)","(6.0, 6.6, 6.06)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(7.0, 8.4, 7.933333333333334)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 11.884615384615385)","(41.0, 75.0, 63.0)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:51.298289,"(7.5, 10.5, 9.75)","(13.0, 16.5, 15.722222222222221)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.68)","(6.0, 6.6, 6.06)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(7.0, 8.4, 7.933333333333334)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 11.884615384615385)","(41.0, 75.0, 63.0)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:52.974452,"(7.5, 10.5, 9.75)","(13.0, 16.5, 15.722222222222221)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.618181818181818)","(6.0, 6.6, 6.06)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(7.0, 8.4, 7.933333333333334)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 11.884615384615385)","(41.0, 75.0, 63.0)","(91.0, 170.0, 145.0)"
