,Malinjang,Studleigh Will,Ashlee Nitro,Our Buscemi Nz,Roclea Ruler,Artistic Saint,Illbewatching,Motu Cullen Nz,Tracer Bullet
14-12-2022 18:45:08.172155,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 7.666666666666667)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.8999999999999995)","(8.5, 99999, 99990)","(17.0, 30.0, 21.666666666666668)"
14-12-2022 18:45:09.774221,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 7.666666666666667)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.8999999999999995)","(8.5, 99999, 99990)","(17.0, 30.0, 21.666666666666668)"
14-12-2022 18:45:11.279184,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 7.666666666666667)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.199999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 21.666666666666668)"
14-12-2022 18:45:12.518292,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 7.666666666666667)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.199999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 21.666666666666668)"
14-12-2022 18:45:13.759006,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 7.666666666666667)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.199999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 21.666666666666668)"
14-12-2022 18:45:14.913967,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 7.666666666666667)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.199999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 21.666666666666668)"
14-12-2022 18:45:16.043209,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 7.666666666666667)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.199999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 21.666666666666668)"
14-12-2022 18:45:17.168663,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 7.666666666666667)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 21.666666666666668)"
14-12-2022 18:45:18.326435,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 7.666666666666667)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 21.666666666666668)"
14-12-2022 18:45:19.929890,"(2.9, 4.3, 3.9099999999999997)","(6.0, 9.8, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
