,Letter To You,Shes So Amazing,Too Much Trifle,Carleton Story,Why Not Gigi,Lifes Good,Dr Carlson
10-01-2023 15:28:47.995941,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.8, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:49.050981,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:50.145868,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:51.155712,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:52.220789,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:53.310958,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:54.359179,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:55.288373,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:56.471506,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:57.518170,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:58.493617,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:28:59.441619,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:29:00.398502,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:29:01.416427,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:29:02.374149,"(9.0, 29.0, 24.0)","(13.0, 32.0, 29.900000000000002)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 130.0, 66.4375)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.3908045977011496)"
10-01-2023 15:29:03.494300,"(9.0, 29.0, 25.7)","(13.0, 32.0, 27.9)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.7857142857142856)"
10-01-2023 15:29:04.503202,"(9.0, 29.0, 25.7)","(13.0, 32.0, 27.9)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.7857142857142856)"
10-01-2023 15:29:05.480783,"(9.0, 29.0, 25.7)","(13.0, 32.0, 27.9)","(4.2, 6.6, 5.01)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.7857142857142856)"
10-01-2023 15:29:06.565791,"(9.0, 29.0, 25.7)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.5173913043478264)"
