,Rushmore Red,Notorious Diesel,Melton Boy,Idema Bale,Blackpool Diva,Lenny Coaster,Usain Road,Late For Love
10-01-2023 13:55:38.287922,"(2.5, 4.3, 3.22)","(2.0, 2.14, 2.044)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 14.8)","(15.0, 60.0, 39.0)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(19.0, 50.0, 43.5)"
10-01-2023 13:55:39.581112,"(2.5, 4.1, 3.8454545454545452)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 14.8)","(15.0, 60.0, 39.0)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(19.0, 50.0, 43.5)"
10-01-2023 13:55:40.838338,"(2.5, 4.1, 3.8454545454545452)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 14.8)","(15.0, 60.0, 39.0)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(19.0, 50.0, 43.5)"
10-01-2023 13:55:42.097364,"(2.5, 4.1, 3.8454545454545452)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 14.8)","(15.0, 60.0, 39.0)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(19.0, 50.0, 43.5)"
10-01-2023 13:55:43.338598,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 14.8)","(15.0, 60.0, 43.84615384615385)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 50.0, 34.16666666666667)"
10-01-2023 13:55:44.654785,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 55.0, 36.388888888888886)"
10-01-2023 13:55:46.038171,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:47.394373,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:48.681620,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:50.278645,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
