,Zambora Opal,Blazing Arnie,Mr Deeds,Fabs Udon,Spring Scout,Charizard,High Action,Marriage Over
07-12-2022 20:43:17.102875,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 15.666666666666668)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:18.418507,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:19.716949,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:20.999784,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:22.292567,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:23.509648,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
07-12-2022 20:43:24.743825,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
07-12-2022 20:43:25.984466,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:27.175905,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:28.383175,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
