,Not Even Owl,Thrilling Bandit,Big Time Roman,Big Time Raider,Big Time Taniwha
06-01-2023 15:52:50.590380,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:52:51.707209,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:52:52.724184,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:52:53.632821,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:52:54.678512,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:52:55.711321,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:52:56.692533,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:52:57.907195,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:52:58.834842,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:52:59.797169,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:00.853535,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:01.802446,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:02.668732,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:03.622125,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:04.713742,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:05.642043,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:06.534889,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:07.482904,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:08.483778,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:09.504897,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:10.433193,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:11.356805,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:12.398796,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:13.433406,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
