,Style Council,Wallys Boy,Good Chat Mort,Sheriff Bart,Hustlers Girl,Chillin Villain,Out Of Turmoil,Rumble Smile
0,"[datetime.datetime(2022, 11, 28, 10, 3, 37, 315044), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 37, 315044), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 37, 315044), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 37, 315044), 11.0, 26.0]","[datetime.datetime(2022, 11, 28, 10, 3, 37, 315044), 11.0, 42.0]","[datetime.datetime(2022, 11, 28, 10, 3, 37, 315044), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 37, 315044), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 37, 315044), 5.0, 11.0]"
1,"[datetime.datetime(2022, 11, 28, 10, 3, 38, 456009), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 38, 456009), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 38, 456009), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 38, 456009), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 10, 3, 38, 456009), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 38, 456009), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 38, 456009), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 38, 456009), 5.0, 11.0]"
2,"[datetime.datetime(2022, 11, 28, 10, 3, 39, 584378), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 39, 584378), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 39, 584378), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 39, 584378), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 10, 3, 39, 584378), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 39, 584378), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 39, 584378), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 39, 584378), 5.0, 11.0]"
3,"[datetime.datetime(2022, 11, 28, 10, 3, 40, 719047), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 40, 719047), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 40, 719047), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 40, 719047), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 10, 3, 40, 719047), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 40, 719047), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 40, 719047), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 40, 719047), 5.0, 11.0]"
4,"[datetime.datetime(2022, 11, 28, 10, 3, 41, 847301), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 41, 847301), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 41, 847301), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 41, 847301), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 10, 3, 41, 847301), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 41, 847301), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 41, 847301), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 41, 847301), 5.0, 11.0]"
5,"[datetime.datetime(2022, 11, 28, 10, 3, 42, 984176), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 42, 984176), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 42, 984176), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 42, 984176), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 10, 3, 42, 984176), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 42, 984176), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 42, 984176), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 42, 984176), 5.0, 11.0]"
6,"[datetime.datetime(2022, 11, 28, 10, 3, 44, 113890), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 44, 113890), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 44, 113890), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 44, 113890), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 10, 3, 44, 113890), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 44, 113890), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 44, 113890), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 44, 113890), 5.0, 11.0]"
7,"[datetime.datetime(2022, 11, 28, 10, 3, 45, 247756), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 45, 247756), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 45, 247756), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 45, 247756), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 10, 3, 45, 247756), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 45, 247756), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 45, 247756), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 45, 247756), 5.0, 11.0]"
8,"[datetime.datetime(2022, 11, 28, 10, 3, 46, 387336), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 46, 387336), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 46, 387336), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 46, 387336), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 10, 3, 46, 387336), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 46, 387336), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 46, 387336), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 46, 387336), 5.0, 11.0]"
9,"[datetime.datetime(2022, 11, 28, 10, 3, 47, 512061), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 47, 512061), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 47, 512061), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 47, 512061), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 10, 3, 47, 512061), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 47, 512061), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 47, 512061), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 47, 512061), 5.0, 11.0]"
10,"[datetime.datetime(2022, 11, 28, 10, 3, 48, 643514), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 48, 643514), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 48, 643514), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 48, 643514), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 10, 3, 48, 643514), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 48, 643514), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 48, 643514), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 48, 643514), 5.0, 11.0]"
11,"[datetime.datetime(2022, 11, 28, 10, 3, 49, 774421), 7.5, 18.5]","[datetime.datetime(2022, 11, 28, 10, 3, 49, 774421), 4.6, 9.6]","[datetime.datetime(2022, 11, 28, 10, 3, 49, 774421), 21.0, 120.0]","[datetime.datetime(2022, 11, 28, 10, 3, 49, 774421), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 10, 3, 49, 774421), 11.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 3, 49, 774421), 5.0, 15.0]","[datetime.datetime(2022, 11, 28, 10, 3, 49, 774421), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 10, 3, 49, 774421), 5.0, 11.0]"
