,My Jewel,Uno Kai,World Gone Mad,Manila Brae,Sister Sticker,Blue Redemption
09-01-2023 17:40:00.226652,"(7.0, 15.0, 14.125)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 34.76923076923077)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:01.416867,"(7.0, 15.0, 13.6)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 34.76923076923077)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:02.472980,"(7.0, 15.0, 13.6)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 34.76923076923077)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:03.448932,"(7.0, 15.0, 13.6)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 34.76923076923077)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:04.425335,"(7.0, 15.0, 13.6)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 34.76923076923077)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:05.327763,"(7.0, 15.0, 13.6)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 34.76923076923077)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:06.261448,"(7.0, 15.0, 13.6)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 34.76923076923077)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:07.243431,"(7.0, 15.0, 13.6)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 34.76923076923077)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:08.223005,"(7.0, 15.0, 13.6)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 34.76923076923077)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:09.303702,"(7.0, 15.0, 13.6)","(21.0, 95.0, 44.09090909090909)","(3.6, 4.2, 4.095652173913043)","(19.0, 60.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:10.317868,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:11.361021,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
