,Yering Rose,Keekee,Ace Star,Elpine Warrior,Mac A Boy,Social Writer,Keayang Bieber,Lazio Lass
14-12-2022 18:51:38.801047,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.9057142857142857)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:39.950592,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.9057142857142857)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:41.161510,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.9057142857142857)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:42.303434,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.9057142857142857)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:43.385680,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.9057142857142857)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:44.543535,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.9057142857142857)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:45.616611,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.9057142857142857)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:46.669272,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.9057142857142857)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:47.814537,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.9057142857142857)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:48.940968,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.3, 3.6866666666666665)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:50.037662,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.2, 3.631111111111111)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:51.205616,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.2, 3.631111111111111)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:52.417077,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.2, 3.631111111111111)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:53.564809,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.2, 3.631111111111111)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:54.636296,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.2, 3.631111111111111)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:55.771407,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.2, 3.631111111111111)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:56.876435,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.2, 3.631111111111111)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:51:57.896156,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.2, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
