,Queen Butterfly,Wheres My Cash,Blazing Dodge,Jolly Johnny,Aussie Bullseye,Head Bin,Riverdale Peggy
14-12-2022 13:14:25.894028,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 26.0)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:26.918952,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 26.0)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:28.000925,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 26.0)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:29.179801,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 26.0)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:30.413088,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 18.857142857142858)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:31.631617,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 18.857142857142858)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:32.741026,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 18.857142857142858)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:33.757953,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 18.857142857142858)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:34.765782,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 18.857142857142858)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:35.925577,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 18.857142857142858)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.779999999999999)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 38.4375)"
14-12-2022 13:14:37.130928,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 18.857142857142858)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 12.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:38.380598,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:39.547825,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:40.705718,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:41.903928,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:43.022287,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:44.137317,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.173636363636364)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:45.373260,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:46.604066,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:47.766719,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:48.953596,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
