,Rons Brother,Spring Aggie,Chance,Spring Rock,Reggies Brother,Spring Maple
16-12-2022 15:26:56.198056,"(5.0, 6.0, 5.75)","(6.0, 12.0, 11.68)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.6)","(7.0, 9.2, 8.971428571428572)","(3.4, 4.5, 4.17)"
16-12-2022 15:26:57.204090,"(5.0, 6.0, 5.75)","(6.0, 12.0, 11.68)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.6)","(7.0, 9.2, 8.971428571428572)","(3.4, 4.5, 4.17)"
16-12-2022 15:26:58.122278,"(5.0, 6.0, 5.75)","(6.0, 12.0, 11.68)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.65)","(7.0, 9.2, 8.971428571428572)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:26:59.097313,"(5.0, 6.0, 5.75)","(6.0, 12.0, 11.68)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.65)","(7.0, 9.0, 8.299999999999999)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:00.084295,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.0, 11.68)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.65)","(7.0, 9.0, 8.299999999999999)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:00.987604,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.0, 11.68)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.65)","(7.0, 9.0, 8.65)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:01.961760,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.0, 11.68)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.65)","(7.0, 9.0, 8.65)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:03.008849,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.0, 11.68)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.65)","(7.0, 9.2, 8.971428571428572)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:03.978728,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.5, 12.113333333333333)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.65)","(7.0, 9.2, 8.363636363636363)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:04.982041,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.5, 12.113333333333333)","(4.0, 4.5, 4.111111111111111)","(4.8, 6.8, 6.65)","(7.0, 8.0, 7.803921568627451)","(3.4, 4.5, 4.2272727272727275)"
