,Mr Kennedy,Super Freds,Blue Canasta,Headstart,Separatist,Maudeville,All I Care About,First Class Molley,Light Press
07-01-2023 13:07:35.054044,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.7, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:36.249639,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:37.436985,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:38.628129,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:39.823474,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:41.034466,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:42.278789,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:43.541917,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:44.780813,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:45.958700,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:47.108081,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:48.273007,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:49.422823,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
