,Versetto,Hongbao,Tequila Sunset,Midnight Rush,Opal Beach,Grandma Gail,Magiclane,Morphett Road
16-12-2022 15:26:53.041900,"(7.5, 10.5, 10.1484375)","(1.9, 2.02, 2.00938704028021)","(11.0, 13.0, 12.80232558139535)","(4.4, 5.6, 5.548275862068965)","(21.0, 36.0, 34.45161290322581)","(8.5, 10.5, 9.993617021276597)","(41.0, 55.0, 49.90909090909091)","(101.0, 350.0, 318.1818181818182)"
16-12-2022 15:26:54.102802,"(7.5, 10.5, 10.071250000000001)","(1.9, 2.02, 2.0172881355932204)","(11.0, 13.5, 13.23015873015873)","(4.4, 5.6, 5.548275862068965)","(21.0, 36.0, 34.45161290322581)","(8.5, 10.5, 9.993617021276597)","(41.0, 55.0, 49.90909090909091)","(101.0, 350.0, 318.1818181818182)"
16-12-2022 15:26:55.081421,"(7.5, 10.5, 10.179487179487179)","(1.9, 1.99, 1.9726219512195122)","(11.0, 13.5, 13.292307692307693)","(4.4, 5.6, 5.570103092783505)","(21.0, 36.0, 35.42857142857143)","(8.5, 10.5, 10.064102564102564)","(41.0, 55.0, 51.888888888888886)","(101.0, 350.0, 318.1818181818182)"
16-12-2022 15:26:56.283137,"(7.5, 10.5, 10.244318181818182)","(1.9, 1.98, 1.9758490566037736)","(11.0, 13.5, 13.371212121212121)","(4.4, 5.6, 5.577862595419847)","(21.0, 36.0, 35.5)","(8.5, 10.5, 10.20183486238532)","(41.0, 55.0, 53.095238095238095)","(101.0, 350.0, 300.0)"
16-12-2022 15:26:57.418087,"(7.5, 10.5, 10.191780821917808)","(1.9, 1.98, 1.9742176870748298)","(11.0, 13.5, 13.371212121212121)","(4.4, 5.7, 5.616883116883117)","(21.0, 38.0, 35.88235294117647)","(8.5, 10.5, 10.179802955665025)","(41.0, 55.0, 53.095238095238095)","(101.0, 350.0, 300.0)"
16-12-2022 15:26:58.496055,"(7.5, 10.5, 10.1484375)","(1.9, 1.98, 1.971098901098901)","(11.0, 13.5, 13.371212121212121)","(4.4, 5.7, 5.62)","(21.0, 38.0, 36.5)","(8.5, 10.5, 10.17005076142132)","(41.0, 55.0, 52.82608695652174)","(101.0, 350.0, 318.1818181818182)"
16-12-2022 15:26:59.485350,"(7.5, 10.5, 10.216216216216216)","(1.9, 1.96, 1.9560818713450292)","(11.0, 13.5, 13.39864864864865)","(4.4, 5.7, 5.65945945945946)","(21.0, 38.0, 36.54545454545455)","(8.5, 10.5, 10.194711538461538)","(41.0, 55.0, 52.95454545454545)","(101.0, 350.0, 318.1818181818182)"
16-12-2022 15:27:00.568180,"(7.5, 10.5, 10.155737704918034)","(1.9, 1.97, 1.963013698630137)","(11.0, 13.5, 13.3828125)","(4.4, 5.7, 5.6625)","(21.0, 38.0, 36.54545454545455)","(8.5, 10.5, 10.172680412371134)","(41.0, 55.0, 52.95454545454545)","(101.0, 350.0, 300.0)"
16-12-2022 15:27:01.656814,"(7.5, 10.5, 10.155737704918034)","(1.9, 1.97, 1.961673469387755)","(11.0, 13.5, 13.444444444444445)","(4.4, 5.7, 5.6625)","(21.0, 38.0, 36.6)","(8.5, 10.5, 10.23263888888889)","(41.0, 55.0, 52.95454545454545)","(101.0, 350.0, 308.3333333333333)"
16-12-2022 15:27:02.747109,"(7.5, 10.5, 10.155737704918034)","(1.9, 1.97, 1.9613385826771652)","(11.0, 13.5, 13.444444444444445)","(4.4, 5.7, 5.651136363636364)","(21.0, 38.0, 36.6)","(8.5, 10.5, 10.23263888888889)","(41.0, 55.0, 52.95454545454545)","(101.0, 350.0, 308.3333333333333)"
