,Water Into Wine,Fire Glo Too,Young Hostess,Thats Incranibull,Max Mercury,Hard Squeeze,Maid Of Iron,Dodgy One,Peppino
11-01-2023 16:13:51.112666,"(21.0, 32.0, 29.0)","(4.4, 5.1, 5.071428571428571)","(10.0, 16.5, 14.847826086956522)","(31.0, 42.0, 38.857142857142854)","(4.0, 4.7, 4.643979057591623)","(3.2, 3.8, 3.753651685393258)","(7.0, 8.2, 8.029411764705882)","(13.0, 16.5, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:13:52.426682,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.058823529411764)","(31.0, 42.0, 38.857142857142854)","(4.0, 4.7, 4.643979057591623)","(3.2, 3.8, 3.7372623574144486)","(7.0, 8.2, 8.012903225806452)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:13:53.745406,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.058823529411764)","(31.0, 42.0, 38.857142857142854)","(4.0, 4.7, 4.643979057591623)","(3.2, 3.8, 3.7372623574144486)","(7.0, 8.2, 8.012903225806452)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:13:54.982840,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.058823529411764)","(31.0, 42.0, 38.857142857142854)","(4.0, 4.7, 4.643979057591623)","(3.2, 3.8, 3.7372623574144486)","(7.0, 8.2, 8.012903225806452)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:13:56.242942,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.058823529411764)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.643979057591623)","(3.2, 3.8, 3.7372623574144486)","(7.0, 8.2, 8.012903225806452)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:13:57.574696,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.058823529411764)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.643979057591623)","(3.2, 3.8, 3.7372623574144486)","(7.0, 8.2, 8.031884057971014)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:13:58.737555,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.058823529411764)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.643979057591623)","(3.2, 3.8, 3.7372623574144486)","(7.0, 8.2, 8.031884057971014)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:13:59.974936,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.058823529411764)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.6523076923076925)","(3.2, 3.8, 3.7372623574144486)","(7.0, 8.2, 8.031884057971014)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:14:01.216837,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.058823529411764)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.668)","(3.2, 3.8, 3.734027777777778)","(7.0, 8.2, 8.031884057971014)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:14:02.526396,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.058823529411764)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.668)","(3.2, 3.8, 3.734027777777778)","(7.0, 8.2, 8.031884057971014)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:14:03.741955,"(21.0, 30.0, 29.0)","(4.4, 5.2, 5.1466666666666665)","(10.0, 15.5, 15.115384615384615)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.668)","(3.2, 3.8, 3.734027777777778)","(7.0, 8.2, 8.031884057971014)","(13.0, 17.0, 16.595238095238095)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:14:04.947769,"(21.0, 30.0, 29.0)","(4.4, 5.3, 5.259090909090909)","(10.0, 15.5, 15.115384615384615)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.668)","(3.2, 3.8, 3.7363839285714286)","(7.0, 8.2, 7.992251815980629)","(13.0, 17.0, 16.4)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:14:06.237977,"(21.0, 30.0, 29.0)","(4.4, 5.4, 5.385714285714286)","(10.0, 15.5, 15.115384615384615)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.668)","(3.2, 3.75, 3.743582887700535)","(7.0, 8.0, 8.149779735682818)","(13.0, 16.5, 16.4)","(41.0, 70.0, 63.666666666666664)"
11-01-2023 16:14:07.553776,"(21.0, 30.0, 29.0)","(4.6, 5.4, 5.364705882352942)","(10.0, 15.5, 15.115384615384615)","(31.0, 42.0, 39.0)","(4.0, 4.7, 4.668)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.2, 7.978026905829596)","(14.0, 16.5, 16.860655737704917)","(51.0, 70.0, 66.93548387096774)"
11-01-2023 16:14:08.770707,"(21.0, 29.0, 25.941176470588236)","(4.6, 5.4, 5.364705882352942)","(10.0, 15.5, 15.115384615384615)","(31.0, 40.0, 38.095238095238095)","(4.0, 4.7, 4.668)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.978026905829596)","(14.0, 17.0, 16.88095238095238)","(51.0, 70.0, 67.20588235294117)"
11-01-2023 16:14:09.966473,"(21.0, 29.0, 25.761904761904763)","(4.6, 5.5, 5.41)","(10.0, 15.5, 15.058823529411764)","(31.0, 40.0, 37.76)","(4.0, 4.7, 4.668)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.967864693446089)","(14.0, 17.0, 16.897260273972602)","(51.0, 70.0, 67.20588235294117)"
11-01-2023 16:14:11.186589,"(21.0, 29.0, 25.761904761904763)","(4.6, 5.5, 5.41)","(10.0, 15.5, 15.058823529411764)","(31.0, 40.0, 37.76)","(4.0, 4.7, 4.668)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.967864693446089)","(14.0, 17.0, 16.897260273972602)","(51.0, 70.0, 67.20588235294117)"
11-01-2023 16:14:12.373982,"(21.0, 29.0, 25.666666666666668)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 15.058823529411764)","(31.0, 40.0, 37.76)","(4.0, 4.7, 4.668)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.967864693446089)","(14.0, 17.0, 16.897260273972602)","(51.0, 70.0, 67.20588235294117)"
11-01-2023 16:14:13.543181,"(21.0, 29.0, 25.761904761904763)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 15.058823529411764)","(31.0, 40.0, 37.76)","(4.0, 4.7, 4.668)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.967864693446089)","(14.0, 17.0, 16.88095238095238)","(51.0, 70.0, 67.20588235294117)"
11-01-2023 16:14:14.723067,"(21.0, 29.0, 25.761904761904763)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 15.058823529411764)","(31.0, 40.0, 37.76)","(4.0, 4.7, 4.6523076923076925)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.967864693446089)","(14.0, 17.0, 16.88095238095238)","(51.0, 70.0, 67.20588235294117)"
11-01-2023 16:14:15.922344,"(21.0, 29.0, 25.761904761904763)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 15.058823529411764)","(31.0, 40.0, 40.0)","(4.0, 4.7, 4.640909090909091)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.966884531590414)","(14.0, 17.0, 16.872881355932204)","(51.0, 70.0, 91.0)"
11-01-2023 16:14:17.176765,"(21.0, 29.0, 27.666666666666668)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 14.858490566037736)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.640909090909091)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 95.0, 85.0)"
11-01-2023 16:14:18.512249,"(21.0, 32.0, 28.733333333333334)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.285714285714285)","(4.0, 4.7, 4.640909090909091)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 85.0)"
11-01-2023 16:14:19.823336,"(21.0, 32.0, 28.733333333333334)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.285714285714285)","(4.0, 4.7, 4.640909090909091)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 85.0)"
11-01-2023 16:14:21.055112,"(21.0, 32.0, 28.733333333333334)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.285714285714285)","(4.0, 4.7, 4.640909090909091)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 85.0)"
11-01-2023 16:14:22.295060,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.285714285714285)","(4.0, 4.7, 4.6551470588235295)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 85.0)"
11-01-2023 16:14:23.534304,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 38.57142857142857)","(4.0, 4.7, 4.6551470588235295)","(3.3, 3.75, 3.743582887700535)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 85.0)"
11-01-2023 16:14:24.795449,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.6551470588235295)","(3.3, 3.75, 3.745027624309392)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 88.0)"
11-01-2023 16:14:26.039533,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.5, 5.402325581395349)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.6551470588235295)","(3.3, 3.75, 3.745027624309392)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 88.0)"
11-01-2023 16:14:27.305166,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.373913043478261)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.6551470588235295)","(3.3, 3.75, 3.745027624309392)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 88.0)"
11-01-2023 16:14:28.521012,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.373913043478261)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.6551470588235295)","(3.3, 3.75, 3.745027624309392)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 88.0)"
11-01-2023 16:14:29.653500,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.373913043478261)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.6551470588235295)","(3.3, 3.75, 3.7472809667673714)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:30.800785,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.373913043478261)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.6551470588235295)","(3.3, 3.75, 3.7472809667673714)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:31.945777,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.373913043478261)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682417582417583)","(3.3, 3.75, 3.7472809667673714)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:33.148784,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.373913043478261)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682417582417583)","(3.3, 3.75, 3.7472809667673714)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:34.383049,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.373913043478261)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682417582417583)","(3.3, 3.75, 3.7472809667673714)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:35.561842,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.373913043478261)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682417582417583)","(3.3, 3.75, 3.7472809667673714)","(7.0, 8.0, 7.966297117516629)","(14.0, 17.0, 16.872881355932204)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:36.783249,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.373913043478261)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682417582417583)","(3.3, 3.75, 3.749481865284974)","(7.0, 8.0, 7.9978891820580476)","(14.0, 17.0, 16.403846153846153)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:38.055379,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.4, 5.35)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.687209302325582)","(3.3, 3.8, 3.749481865284974)","(7.0, 8.0, 7.9978891820580476)","(14.0, 16.5, 16.307692307692307)","(51.0, 100.0, 90.0)"
