,Rock Around,Tabra,Lady Pebbles,Cash Em In Shannon,Marni White,Shannons Shadow,Our Roys Dream,My Kinda Justus,Sir Macador Nz,Montana Nights
10-01-2023 16:53:55.904632,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 3.05, 2.886470588235294)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.88)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:53:57.320191,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 3.05, 2.886470588235294)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.88)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:53:58.612620,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 3.05, 2.7717647058823527)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:53:59.865977,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.92, 2.7717647058823527)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:01.191895,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.9, 2.7541176470588233)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:02.531135,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.9, 2.7541176470588233)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:03.875192,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.9, 2.7541176470588233)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:05.231473,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.9, 2.7541176470588233)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:06.525723,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.9, 2.7011764705882353)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:07.773709,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.84, 2.7011764705882353)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:09.191492,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.683529411764706)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:10.691225,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.683529411764706)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:12.128307,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.683529411764706)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
