,Sozins Queen,Sir Clive,Champagne,Rowdys Monster,Daves Deal,Taieri Taylee,Homebush Cricket,Free For All
05-01-2023 14:35:53.814353,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:35:55.072157,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:35:56.268509,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:35:57.409343,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:35:58.565649,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:35:59.917392,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:01.279168,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:02.577002,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:03.887463,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:05.189720,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:06.500896,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:07.815229,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:08.948338,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:10.195017,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
