,Team Staffing,Panama Dash,Kepler Bale,Elenor Bale,Lets Embrace,Coulter Bale,No Tax
14-12-2022 19:32:10.639677,"(2.6, 4.2, 3.146666666666667)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 8.325)","(14.0, 32.0, 28.3)","(5.0, 11.5, 5.863636363636363)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
14-12-2022 19:32:11.640042,"(2.6, 4.2, 3.146666666666667)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 8.325)","(14.0, 32.0, 28.3)","(5.0, 11.5, 5.863636363636363)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
14-12-2022 19:32:12.728093,"(2.6, 4.2, 3.146666666666667)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 8.325)","(14.0, 32.0, 28.3)","(5.0, 11.5, 5.863636363636363)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
14-12-2022 19:32:13.754489,"(2.6, 4.2, 3.146666666666667)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 8.325)","(14.0, 32.0, 28.3)","(5.0, 11.5, 5.863636363636363)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
14-12-2022 19:32:14.801218,"(2.6, 4.2, 3.146666666666667)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 8.325)","(14.0, 32.0, 28.3)","(5.0, 11.5, 5.863636363636363)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
14-12-2022 19:32:15.842188,"(2.6, 4.2, 3.146666666666667)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 8.325)","(14.0, 32.0, 28.3)","(5.0, 11.5, 5.863636363636363)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
14-12-2022 19:32:16.895194,"(2.6, 4.2, 3.146666666666667)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 8.325)","(14.0, 32.0, 28.3)","(5.0, 11.5, 5.863636363636363)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
14-12-2022 19:32:17.826626,"(2.6, 4.2, 3.0654545454545454)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 8.325)","(14.0, 32.0, 28.3)","(5.0, 11.5, 5.863636363636363)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
14-12-2022 19:32:18.922439,"(2.6, 4.2, 3.0654545454545454)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 10.542857142857143)","(14.0, 32.0, 28.3)","(5.0, 11.5, 7.366666666666666)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
14-12-2022 19:32:20.065006,"(2.6, 4.2, 3.0654545454545454)","(4.6, 8.8, 6.8500000000000005)","(7.5, 13.5, 10.542857142857143)","(14.0, 32.0, 28.3)","(5.0, 11.5, 7.366666666666666)","(4.8, 7.6, 5.266666666666667)","(7.5, 14.5, 12.399999999999999)"
