,Doolittle Days,As She Says,Shesherz,Major Paint,Hurricane Dream,Bokhari,Downtown Manhattan,Village Smirker
07-12-2022 20:13:52.211679,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:13:53.470732,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:13:54.831738,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:13:56.153553,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:13:57.372390,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:13:58.611294,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:13:59.805319,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:00.983821,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:02.209712,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:03.355163,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:04.491178,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:05.580823,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:06.700819,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:07.874378,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:09.102564,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
