,Miss Corey,Codas Honor,Practically There,Shes All Courage,Castle Of Caylee,Divine Fashion,Unexpectedly,Christines Cosmo
08-01-2023 09:18:57.309074,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:18:58.189896,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:18:59.090199,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:18:59.970199,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:00.858751,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:01.724802,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:02.636717,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:03.532662,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:04.407501,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:05.298975,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:06.184343,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:07.059945,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:07.943845,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:08.818864,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:09.692451,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:10.555902,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
