,Furious Angel,Wheres Walter,Rogan Bale,Ramstein Bale,What A Spirit,Nigerian Kaboom,Slingshot Sudoku,My Names Karen
11-01-2023 18:40:52.252267,"(4.4, 6.6, 6.1)","(3.2, 3.8, 3.225)","(18.0, 60.0, 29.090909090909093)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:40:53.321278,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 29.090909090909093)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:40:54.534383,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:40:55.562710,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:40:56.576195,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:40:57.643746,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:40:58.835282,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:40:59.925841,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:41:01.068028,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:41:02.104527,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:41:03.155934,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
11-01-2023 18:41:04.328681,"(4.4, 6.6, 6.1)","(3.2, 3.75, 3.225)","(18.0, 60.0, 33.4375)","(11.0, 22.0, 19.375)","(3.8, 6.4, 4.87)","(15.0, 46.0, 26.9375)","(6.5, 11.0, 7.175000000000001)","(7.0, 12.5, 10.142857142857142)"
