,Eliminate,Ask An Angel,Dark City,Delago Dehero,Lucy Da Grey,Aurman Zou,The Crown Prince
07-01-2023 16:25:20.133739,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.8)","(7.5, 13.0, 11.733333333333333)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:21.228423,"(1.8, 1.96, 1.918)","(3.4, 5.2, 4.8)","(7.5, 13.0, 11.733333333333333)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:22.451634,"(1.8, 1.96, 1.918)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 11.733333333333333)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:23.547676,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 12.05)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:24.581744,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 12.05)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:25.704130,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 12.05)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:26.683350,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 12.05)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:27.691869,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 12.05)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:28.885501,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 12.05)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:29.933129,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 12.05)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 70.36363636363637)"
07-01-2023 16:25:30.935852,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 12.05)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 74.69999999999999)"
07-01-2023 16:25:31.939502,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 12.05)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 37.5)","(26.0, 80.0, 74.69999999999999)"
07-01-2023 16:25:32.917536,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 11.955555555555556)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 60.0, 36.25)","(26.0, 80.0, 66.27272727272727)"
07-01-2023 16:25:33.844405,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 14.0, 11.955555555555556)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:34.973523,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.5, 11.65)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:35.939742,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.0, 11.65)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:36.893890,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.5, 12.816666666666666)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:37.851125,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.5, 12.816666666666666)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:38.860790,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.5, 12.816666666666666)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
