,Goldstar Linda,Tiggerlong Demon,Free For All,Sapporo Bale,Goldstar Glenys,Homebush Glitch,Taieri Taylee,Homebush Bentley
15-12-2022 12:59:15.508425,"(1.75, 2.34, 2.15)","(12.0, 27.0, 16.333333333333332)","(14.0, 99999, 99990)","(31.0, 260.0, 94.28571428571429)","(6.5, 11.0, 7.5777777777777775)","(5.5, 11.0, 8.68)","(4.8, 8.2, 5.633333333333334)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:16.859685,"(1.75, 2.32, 2.15)","(12.0, 27.0, 16.333333333333332)","(14.0, 99999, 99990)","(31.0, 260.0, 94.28571428571429)","(6.5, 11.0, 7.5777777777777775)","(5.5, 11.0, 8.68)","(4.8, 8.2, 5.05)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:18.423004,"(1.75, 2.32, 2.15)","(12.0, 27.0, 16.333333333333332)","(14.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 11.0, 7.5777777777777775)","(5.5, 11.0, 8.68)","(4.8, 8.2, 6.6)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:19.882485,"(1.75, 2.32, 2.15)","(12.0, 27.0, 16.333333333333332)","(14.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 11.0, 7.5777777777777775)","(5.5, 11.0, 8.68)","(4.8, 8.2, 6.6)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:21.186360,"(1.75, 2.32, 2.15)","(12.0, 27.0, 16.333333333333332)","(14.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 11.0, 7.5777777777777775)","(5.5, 11.0, 8.68)","(4.8, 8.2, 6.6)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:22.378262,"(1.75, 2.32, 2.15)","(12.0, 27.0, 16.333333333333332)","(14.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 11.0, 7.5777777777777775)","(5.5, 11.0, 8.68)","(4.8, 8.2, 6.6)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:23.509758,"(1.75, 2.32, 2.15)","(12.0, 27.0, 16.333333333333332)","(14.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 11.0, 7.5777777777777775)","(5.5, 11.0, 8.68)","(4.8, 8.2, 6.6)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:24.635978,"(1.75, 2.32, 2.286)","(12.0, 29.0, 14.0)","(14.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 11.0, 7.5777777777777775)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 6.6)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:25.792124,"(1.75, 2.32, 2.286)","(12.0, 29.0, 14.0)","(14.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 11.0, 7.5777777777777775)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:27.030982,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(14.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 11.0, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:28.317808,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(14.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 10.5, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.36)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:29.617812,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(15.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 10.5, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 5.36)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:30.866729,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(15.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 10.5, 8.3)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 5.36)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:32.028702,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(15.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 10.0, 8.3)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 5.36)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:33.217419,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(15.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 10.0, 8.3)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 5.36)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:34.358172,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(15.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 10.0, 8.3)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 5.36)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:35.444497,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(15.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 10.0, 8.3)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 5.36)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:36.608309,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(16.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 10.0, 8.3)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 5.36)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:37.801120,"(1.75, 2.32, 2.286)","(12.0, 30.0, 14.8)","(16.0, 99999, 99990)","(31.0, 260.0, 163.33333333333331)","(6.5, 10.0, 8.3)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 5.36)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:39.062673,"(1.75, 2.32, 2.286)","(12.0, 30.0, 15.75)","(16.0, 99999, 99990)","(31.0, 260.0, 95.0)","(6.5, 10.0, 8.3)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 4.844444444444444)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:40.247060,"(1.75, 2.32, 2.286)","(12.0, 30.0, 21.555555555555557)","(16.0, 99999, 99990)","(31.0, 260.0, 68.33333333333334)","(6.5, 10.0, 8.3)","(5.5, 11.0, 6.538461538461538)","(4.8, 6.8, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:41.429654,"(1.75, 2.32, 2.286)","(12.0, 30.0, 21.555555555555557)","(16.0, 99999, 99990)","(31.0, 260.0, 68.33333333333334)","(6.5, 10.0, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:42.615612,"(1.75, 2.32, 2.286)","(12.0, 30.0, 21.555555555555557)","(16.0, 99999, 99990)","(31.0, 260.0, 68.33333333333334)","(6.5, 10.5, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:43.680649,"(1.75, 2.32, 2.286)","(12.0, 30.0, 21.555555555555557)","(16.0, 99999, 99990)","(31.0, 260.0, 68.33333333333334)","(6.5, 10.5, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:44.831002,"(1.75, 2.32, 2.286)","(12.0, 30.0, 21.555555555555557)","(16.0, 99999, 99990)","(31.0, 260.0, 68.33333333333334)","(6.5, 10.5, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:45.965737,"(1.75, 2.32, 2.286)","(12.0, 29.0, 23.857142857142858)","(16.0, 99999, 99990)","(31.0, 260.0, 68.33333333333334)","(6.5, 10.5, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:47.166994,"(1.75, 2.32, 2.286)","(12.0, 29.0, 23.857142857142858)","(16.0, 99999, 99990)","(31.0, 260.0, 68.33333333333334)","(6.5, 10.5, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:48.399559,"(1.75, 2.32, 2.286)","(12.0, 29.0, 23.857142857142858)","(16.0, 99999, 99990)","(31.0, 260.0, 68.33333333333334)","(6.5, 10.5, 7.38)","(5.5, 11.0, 6.538461538461538)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:49.591371,"(1.75, 2.32, 2.286)","(12.0, 29.0, 23.857142857142858)","(16.0, 99999, 99990)","(31.0, 260.0, 68.33333333333334)","(6.5, 10.5, 7.38)","(5.5, 11.0, 6.79)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:50.780341,"(1.75, 2.32, 2.286)","(12.0, 29.0, 23.857142857142858)","(16.0, 99999, 99990)","(31.0, 260.0, 61.42857142857143)","(6.5, 10.5, 7.38)","(5.5, 10.5, 9.925)","(4.8, 8.2, 5.8)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:51.992567,"(1.75, 2.32, 2.286)","(12.0, 29.0, 23.857142857142858)","(16.0, 99999, 99990)","(31.0, 250.0, 85.0)","(6.5, 10.5, 7.218181818181818)","(5.5, 11.5, 9.925)","(4.8, 8.2, 5.05)","(31.0, 240.0, 133.5)"
15-12-2022 12:59:53.157858,"(1.75, 2.32, 2.286)","(12.0, 28.0, 25.166666666666668)","(16.0, 99999, 99990)","(31.0, 250.0, 85.0)","(6.5, 10.0, 8.3)","(5.5, 11.5, 9.925)","(4.8, 8.2, 5.05)","(31.0, 240.0, 133.5)"
