,Storm Rose,Drink Jacks,Mad Monday,Dream Dancer,My Gal Cookie,Wind And Fire,Louie Luxe,Bundy Bounce
09-01-2023 12:50:45.668982,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
09-01-2023 12:50:46.884186,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
09-01-2023 12:50:48.063356,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
09-01-2023 12:50:49.209491,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
09-01-2023 12:50:50.344519,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
09-01-2023 12:50:51.453302,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
09-01-2023 12:50:52.578085,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
09-01-2023 12:50:53.691123,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
09-01-2023 12:50:54.785610,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
09-01-2023 12:50:55.835181,"(5.5, 11.0, 5.866666666666667)","(2.9, 3.75, 3.1752631578947366)","(5.5, 10.5, 5.825)","(5.0, 9.6, 7.807407407407407)","(31.0, 260.0, 148.0)","(11.0, 36.0, 28.0)","(8.5, 15.5, 10.766666666666667)","(5.0, 11.5, 5.5600000000000005)"
