,Sheezasinga,I Am Fearless,Remember Mary,Expect A Hero,Klinsmann,Jacked Up,Mishani Mistress,Lively Lass,Taormina Rhythm
05-01-2023 14:12:33.729572,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 6.891891891891892)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 140.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:35.085836,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 6.891891891891892)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 140.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:36.463650,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 6.891891891891892)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 140.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:37.991099,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 6.891891891891892)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 140.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:39.520639,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 6.891891891891892)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 140.0, 71.25)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:40.941581,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 6.891891891891892)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 140.0, 71.25)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:42.093705,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 6.891891891891892)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 140.0, 83.33333333333333)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:43.346688,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 6.891891891891892)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 130.0, 80.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:44.514002,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 7.001739130434783)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 120.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:45.709425,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 7.001739130434783)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
