,Tiger By The Tail,Joelene,Cheer The Major Nz,Stars Of Gold,Beat The Bank,Fireplay
0,"[datetime.datetime(2022, 11, 28, 17, 47, 44, 316475), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 44, 316475), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 47, 44, 316475), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 44, 316475), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 44, 316475), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 47, 44, 316475), 101.0, 290.0]"
1,"[datetime.datetime(2022, 11, 28, 17, 47, 45, 469507), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 45, 469507), 13.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 47, 45, 469507), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 45, 469507), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 45, 469507), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 45, 469507), 101.0, 270.0]"
2,"[datetime.datetime(2022, 11, 28, 17, 47, 46, 769990), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 46, 769990), 13.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 47, 46, 769990), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 46, 769990), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 46, 769990), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 46, 769990), 101.0, 260.0]"
3,"[datetime.datetime(2022, 11, 28, 17, 47, 48, 9666), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 48, 9666), 13.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 47, 48, 9666), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 48, 9666), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 48, 9666), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 48, 9666), 101.0, 280.0]"
4,"[datetime.datetime(2022, 11, 28, 17, 47, 49, 198189), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 49, 198189), 13.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 47, 49, 198189), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 49, 198189), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 49, 198189), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 49, 198189), 101.0, 280.0]"
5,"[datetime.datetime(2022, 11, 28, 17, 47, 50, 376604), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 50, 376604), 13.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 47, 50, 376604), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 50, 376604), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 50, 376604), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 50, 376604), 101.0, 270.0]"
6,"[datetime.datetime(2022, 11, 28, 17, 47, 51, 564359), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 51, 564359), 13.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 47, 51, 564359), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 51, 564359), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 51, 564359), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 51, 564359), 101.0, 270.0]"
7,"[datetime.datetime(2022, 11, 28, 17, 47, 52, 728621), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 52, 728621), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 47, 52, 728621), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 52, 728621), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 52, 728621), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 52, 728621), 101.0, 270.0]"
8,"[datetime.datetime(2022, 11, 28, 17, 47, 53, 881580), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 53, 881580), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 47, 53, 881580), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 53, 881580), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 53, 881580), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 53, 881580), 101.0, 300.0]"
9,"[datetime.datetime(2022, 11, 28, 17, 47, 55, 54307), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 55, 54307), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 47, 55, 54307), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 55, 54307), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 55, 54307), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 55, 54307), 101.0, 290.0]"
