,Tahi Tama,Wind In My Wings,Perfect Turn,My Bibby,Dublin Castle,Triathlete,Derryaire,Our Mate Reg,Sneeze,Mcdreamy,Unscripted
12-01-2023 12:48:16.530389,"(4.8, 5.2, 4.8025806451612905)","(16.0, 99999, 99990)","(9.0, 10.5, 10.13888888888889)","(13.0, 22.0, 20.902439024390244)","(18.0, 24.0, 22.789473684210527)","(51.0, 120.0, 115.5)","(2.2, 2.58, 2.624625)","(26.0, 60.0, 55.42857142857143)","(31.0, 50.0, 48.421052631578945)","(10.0, 12.5, 12.346153846153847)","(15.0, 20.0, 19.642857142857142)"
12-01-2023 12:48:18.083525,"(4.8, 4.9, 4.8025806451612905)","(16.0, 99999, 99990)","(9.0, 11.0, 10.13888888888889)","(13.0, 22.0, 20.902439024390244)","(18.0, 23.0, 22.7)","(51.0, 120.0, 115.5)","(2.2, 2.64, 2.608372093023256)","(26.0, 60.0, 56.8)","(31.0, 50.0, 48.421052631578945)","(10.0, 12.5, 12.346153846153847)","(15.0, 20.0, 19.558823529411764)"
12-01-2023 12:48:19.674531,"(4.8, 4.9, 4.8025806451612905)","(16.0, 99999, 99990)","(9.0, 11.0, 10.264705882352942)","(14.0, 22.0, 20.902439024390244)","(18.0, 24.0, 23.27777777777778)","(51.0, 120.0, 115.5)","(2.2, 2.64, 2.615)","(26.0, 60.0, 56.8)","(31.0, 50.0, 48.125)","(10.0, 12.5, 12.318181818181818)","(15.0, 20.0, 19.558823529411764)"
12-01-2023 12:48:21.227158,"(4.8, 4.9, 4.810759493670886)","(16.0, 99999, 99990)","(9.0, 11.5, 10.022222222222222)","(14.0, 22.0, 20.676470588235293)","(18.0, 24.0, 23.307692307692307)","(51.0, 120.0, 113.33333333333334)","(2.2, 2.62, 2.6195)","(26.0, 60.0, 57.1764705882353)","(31.0, 50.0, 50.46153846153847)","(10.0, 12.5, 11.909090909090908)","(15.0, 20.0, 19.7)"
12-01-2023 12:48:22.786104,"(4.8, 4.9, 4.364556962025317)","(16.0, 99999, 99990)","(9.0, 11.5, 870.0113636363636)","(14.0, 22.0, 478.5)","(18.0, 24.0, 497.5)","(51.0, 120.0, 5019.5)","(2.2, 2.62, 4.489473684210527)","(26.0, 60.0, 6673.333333333333)","(31.0, 65.0, 5012.0)","(10.0, 13.0, 957.4418604651163)","(15.0, 20.0, 497.5)"
12-01-2023 12:48:24.315558,"(4.8, 9.8, 9.615625)","(16.0, 99999, 99990)","(9.0, 890.0, 684.3295454545454)","(14.0, 710.0, 478.5)","(18.0, 980.0, 492.5)","(51.0, 99999, 510.0)","(2.2, 4.9, 2.3289156626506022)","(26.0, 99999, 654.0)","(31.0, 99999, 502.5)","(10.0, 980.0, 947.6744186046512)","(15.0, 980.0, 738.75)"
12-01-2023 12:48:25.847522,"(4.8, 9.8, 9.615625)","(16.0, 99999, 99990)","(9.0, 700.0, 948.1931818181819)","(14.0, 710.0, 478.5)","(18.0, 970.0, 492.5)","(51.0, 980.0, 510.0)","(2.2, 2.6, 2.3289156626506022)","(26.0, 970.0, 520.0)","(31.0, 980.0, 497.5)","(10.0, 970.0, 947.6744186046512)","(15.0, 980.0, 588.0)"
12-01-2023 12:48:27.417522,"(4.8, 9.8, 9.67948717948718)","(16.0, 99999, 99990)","(9.0, 970.0, 869.546511627907)","(14.0, 710.0, 478.5)","(18.0, 970.0, 487.5)","(51.0, 980.0, 515.0)","(2.2, 2.6, 2.3289156626506022)","(26.0, 970.0, 525.0)","(31.0, 970.0, 502.5)","(10.0, 970.0, 957.4418604651163)","(15.0, 970.0, 738.75)"
12-01-2023 12:48:28.956575,"(4.8, 9.8, 9.67948717948718)","(16.0, 99999, 99990)","(9.0, 890.0, 869.546511627907)","(14.0, 710.0, 678.7272727272727)","(18.0, 960.0, 492.5)","(51.0, 990.0, 666.6666666666666)","(2.2, 2.6, 2.3289156626506022)","(26.0, 980.0, 520.0)","(31.0, 980.0, 655.0)","(10.0, 980.0, 947.6744186046512)","(15.0, 980.0, 723.75)"
