,Ricky Bobby Riot,Jaggers Lady,Inga Luna,Mcivor Roxy,Cab Fare Home,Ratified,Plumb
14-12-2022 12:02:46.150172,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 30.18181818181818)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.5, 12.0625)","(14.0, 44.0, 24.333333333333336)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:47.161042,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.5, 12.0625)","(14.0, 44.0, 24.333333333333336)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:48.095933,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.5, 12.0625)","(14.0, 44.0, 24.333333333333336)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:49.138118,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 44.0, 24.333333333333336)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:50.095957,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 44.0, 24.333333333333336)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:51.116978,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 44.0, 24.333333333333336)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:52.194309,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 44.0, 24.333333333333336)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:53.366021,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 44.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:54.348610,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:55.376736,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:56.345141,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:57.339072,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:58.282086,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:02:59.315125,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:00.326918,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:01.375622,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:02.360906,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:03.327923,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:04.343673,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:05.392467,"(1.26, 1.73, 1.4180000000000001)","(19.0, 55.0, 36.5)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:06.392546,"(1.26, 1.73, 1.4180000000000001)","(19.0, 55.0, 36.5)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:07.362566,"(1.26, 1.73, 1.4180000000000001)","(19.0, 55.0, 36.5)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:08.350901,"(1.26, 1.73, 1.4180000000000001)","(19.0, 55.0, 36.5)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:09.360840,"(1.26, 1.73, 1.4180000000000001)","(19.0, 55.0, 36.5)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:10.381717,"(1.26, 1.73, 1.4180000000000001)","(19.0, 55.0, 36.5)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:11.392983,"(1.26, 1.73, 1.4180000000000001)","(19.0, 55.0, 36.5)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:12.455060,"(1.26, 1.73, 1.4180000000000001)","(19.0, 55.0, 36.5)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:13.481649,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 39.0)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.875)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:14.538402,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 39.0)","(8.5, 21.0, 11.98181818181818)","(10.0, 15.0, 11.928571428571429)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 24.11764705882353)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:15.489406,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 39.0)","(8.5, 21.0, 11.98181818181818)","(10.0, 14.5, 11.928571428571429)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 23.333333333333336)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:16.447500,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 39.0)","(8.5, 21.0, 11.7)","(10.0, 14.5, 11.928571428571429)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 23.333333333333336)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:17.398819,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 39.0)","(8.5, 21.0, 11.7)","(10.0, 14.5, 11.928571428571429)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 23.333333333333336)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:18.360643,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 39.0)","(8.5, 21.0, 11.7)","(10.0, 14.5, 11.928571428571429)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 23.333333333333336)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:19.352029,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.7)","(10.0, 14.5, 11.928571428571429)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 23.333333333333336)","(17.0, 28.0, 23.384615384615387)"
14-12-2022 12:03:20.334370,"(1.26, 1.73, 1.4180000000000001)","(19.0, 60.0, 34.15384615384615)","(8.5, 21.0, 11.7)","(10.0, 14.5, 11.928571428571429)","(14.0, 42.0, 23.666666666666664)","(10.0, 25.0, 23.333333333333336)","(17.0, 28.0, 23.384615384615387)"
