,Burn The Boats,Hush Puppy,Master Of Menace,Ready Enable,Royal George,The Wolverine,Thrax,Rufus Winright,Think Doro,Duchess Bree,Game Star,Is That You Ethel
07-01-2023 14:09:14.040637,"(10.0, 11.5, 11.361878453038674)","(101.0, 550.0, 531.25)","(9.0, 11.5, 11.1796875)","(71.0, 95.0, 91.25)","(31.0, 42.0, 40.44444444444444)","(7.5, 9.0, 8.731288343558283)","(101.0, 260.0, 253.33333333333334)","(2.9, 3.05, 3.036842105263158)","(10.0, 13.0, 12.957317073170731)","(101.0, 320.0, 280.0)","(15.0, 17.0, 16.648275862068967)","(4.0, 5.1, 5.006060606060606)"
07-01-2023 14:09:15.707886,"(10.0, 11.5, 11.361878453038674)","(101.0, 550.0, 531.25)","(9.0, 11.5, 11.1796875)","(71.0, 95.0, 91.25)","(31.0, 42.0, 40.44444444444444)","(7.5, 8.8, 8.535483870967742)","(101.0, 260.0, 255.0)","(2.9, 3.05, 3.0534090909090907)","(10.0, 13.0, 12.967592592592592)","(101.0, 320.0, 280.0)","(15.0, 17.0, 16.692307692307693)","(4.0, 5.1, 5.047682119205298)"
07-01-2023 14:09:17.477055,"(10.0, 11.5, 11.380382775119617)","(101.0, 550.0, 438.0)","(9.0, 11.5, 11.188715953307392)","(71.0, 95.0, 91.0)","(31.0, 42.0, 40.833333333333336)","(7.0, 8.6, 8.538461538461538)","(101.0, 260.0, 255.0)","(2.9, 3.1, 3.0811791383219957)","(10.0, 13.0, 12.925438596491228)","(101.0, 320.0, 272.94117647058823)","(15.0, 17.0, 16.754545454545454)","(4.0, 5.1, 5.021782178217822)"
07-01-2023 14:09:19.167316,"(10.0, 11.5, 11.385204081632653)","(101.0, 550.0, 438.0)","(9.0, 11.5, 11.201149425287356)","(71.0, 95.0, 91.25)","(31.0, 42.0, 40.5)","(7.0, 8.6, 8.518181818181818)","(101.0, 260.0, 255.71428571428572)","(2.9, 3.1, 3.082096069868996)","(10.0, 13.0, 12.92608695652174)","(101.0, 320.0, 273.84615384615387)","(15.0, 17.0, 16.766666666666666)","(4.0, 5.1, 5.030909090909091)"
07-01-2023 14:09:20.919896,"(10.0, 11.5, 11.381410256410255)","(101.0, 550.0, 427.5)","(9.0, 11.5, 11.19811320754717)","(71.0, 95.0, 91.25)","(31.0, 42.0, 40.38461538461539)","(7.0, 8.6, 8.422727272727274)","(101.0, 260.0, 255.71428571428572)","(2.9, 3.1, 3.094235588972431)","(10.0, 13.0, 12.892)","(101.0, 320.0, 273.84615384615387)","(15.0, 17.0, 16.7680412371134)","(4.0, 5.1, 5.01595744680851)"
07-01-2023 14:09:22.576471,"(10.0, 11.5, 11.42384105960265)","(101.0, 550.0, 427.5)","(9.0, 11.5, 11.202755905511811)","(71.0, 95.0, 91.47058823529412)","(31.0, 42.0, 40.38461538461539)","(7.0, 8.6, 8.52)","(101.0, 260.0, 255.71428571428572)","(2.9, 3.1, 3.1314685314685313)","(10.0, 13.0, 12.892857142857142)","(101.0, 320.0, 277.14285714285717)","(15.0, 17.0, 16.581967213114755)","(4.0, 5.0, 4.994318181818182)"
07-01-2023 14:09:24.243835,"(10.0, 11.5, 11.426666666666666)","(101.0, 550.0, 427.5)","(9.0, 11.5, 11.195121951219512)","(71.0, 95.0, 91.25)","(31.0, 42.0, 40.38461538461539)","(7.0, 8.6, 8.5125)","(101.0, 260.0, 275.38461538461536)","(2.9, 3.15, 3.12876404494382)","(10.0, 13.0, 12.892857142857142)","(101.0, 320.0, 277.14285714285717)","(15.0, 17.0, 16.557692307692307)","(4.0, 5.0, 4.983)"
07-01-2023 14:09:26.011367,"(10.0, 11.5, 11.42361111111111)","(101.0, 550.0, 427.5)","(9.0, 11.5, 11.195121951219512)","(71.0, 95.0, 91.25)","(31.0, 42.0, 40.25)","(7.0, 8.6, 8.475)","(101.0, 300.0, 273.3333333333333)","(2.9, 3.15, 3.14375)","(10.0, 13.0, 12.892857142857142)","(101.0, 320.0, 277.14285714285717)","(15.0, 17.0, 16.520408163265305)","(4.0, 5.0, 4.982291666666667)"
07-01-2023 14:09:27.720185,"(10.0, 11.5, 11.42361111111111)","(101.0, 550.0, 427.5)","(9.0, 11.5, 11.216666666666667)","(71.0, 95.0, 91.25)","(31.0, 42.0, 40.25)","(7.0, 8.6, 8.475)","(101.0, 300.0, 273.3333333333333)","(2.9, 3.15, 3.148951048951049)","(10.0, 13.0, 12.825471698113208)","(101.0, 320.0, 277.14285714285717)","(15.0, 17.0, 16.47887323943662)","(4.0, 5.0, 4.918181818181819)"
07-01-2023 14:09:29.331500,"(10.0, 11.5, 11.389261744966444)","(101.0, 550.0, 427.5)","(9.0, 11.5, 11.209677419354838)","(71.0, 95.0, 91.25)","(31.0, 42.0, 39.142857142857146)","(7.0, 8.6, 8.472727272727273)","(101.0, 300.0, 273.3333333333333)","(2.9, 3.15, 3.1090909090909093)","(10.0, 13.0, 12.853260869565217)","(101.0, 320.0, 277.14285714285717)","(15.0, 16.5, 16.63888888888889)","(4.0, 5.1, 4.883838383838384)"
