,Jilliby Tina,Spike The Punch,Tackleberry,Showtime Bobby,Flash Fever,Secret Shades,Memory Lane,Juliette Keats
16-12-2022 12:35:39.486768,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 30.25)","(7.5, 16.0, 12.444444444444445)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 124.71428571428571)","(18.0, 50.0, 35.214285714285715)","(7.0, 14.0, 9.2)"
16-12-2022 12:35:40.650149,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 30.25)","(7.5, 16.0, 12.444444444444445)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 124.71428571428571)","(18.0, 50.0, 35.214285714285715)","(7.0, 14.0, 9.2)"
16-12-2022 12:35:41.709470,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 30.25)","(7.5, 16.0, 12.444444444444445)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 124.71428571428571)","(18.0, 50.0, 35.214285714285715)","(7.0, 14.0, 9.2)"
16-12-2022 12:35:42.760359,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 30.25)","(7.5, 16.0, 14.071428571428571)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 157.0)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:43.921064,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 157.0)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:44.983698,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 157.0)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:46.066128,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 157.0)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:47.142282,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 157.0)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:48.206582,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:49.272939,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:50.356497,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:51.508082,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:52.701090,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:53.826967,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:54.863680,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:55.896932,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:56.966494,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:58.043648,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:35:59.165993,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:00.295252,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:01.480995,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:02.506436,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
