,Joan Jet,Big Time Pacman,Chi Lin,Uncle Albert,Redeem A Rapper,Mow Cow
14-12-2022 12:12:48.713995,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 67.125)","(4.2, 14.0, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:12:50.235762,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 75.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:12:51.742992,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:12:53.197533,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:12:54.463306,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:12:55.655906,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 75.0, 67.125)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:12:56.757565,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 75.0, 67.125)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:12:57.805994,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:12:58.920696,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:00.104309,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:01.259782,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:02.367868,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 67.125)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:03.300827,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 75.0, 67.125)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:04.423173,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 75.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:05.647442,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:06.870136,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:08.051512,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:09.128376,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 67.125)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:10.226922,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 75.0, 67.125)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:11.339668,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 75.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:12.373207,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:13.497108,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:14.663689,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:15.785271,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 70.0, 62.75)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:16.759455,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 75.0, 67.125)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:17.908358,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 75.0, 62.75)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:19.183313,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 12.59)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:20.369398,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:21.484674,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:22.623836,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:23.642851,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:24.584916,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 75.0, 43.75)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:25.572039,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 75.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
