,Wandering Star,Know Gloating,Impressive Sonic,Mysterious Lady,Goldstar Justice,Barbaras Angel,Mine Hunter,Feeling Fancy
15-12-2022 14:26:14.244016,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.3)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.6909090909090905)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:15.340317,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.3)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.6909090909090905)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:16.354645,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 67.0)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.6909090909090905)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:17.497963,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 67.0)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.6909090909090905)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:18.647762,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 67.0)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.6909090909090905)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:19.759953,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 67.0)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.6909090909090905)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:20.833084,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 67.0)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.6909090909090905)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:21.926007,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.6909090909090905)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:23.101094,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 7.111363636363636)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:24.299641,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.9653846153846155)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:25.454834,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.485714285714288)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.6, 5.842307692307693)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:26.563808,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 22.0, 19.771428571428572)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.4, 5.842307692307693)","(9.0, 21.0, 19.740000000000002)"
