,Kempton Bale,Call The Fairies,Hokkaido Miss,Micks Kimmy,Iverson,Joffas Liberty,Impress Scarlett,Who Knows Chloe
0,"[datetime.datetime(2022, 11, 28, 16, 5, 7, 947636), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 7, 947636), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 7, 947636), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 7, 947636), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 7, 947636), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 7, 947636), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 7, 947636), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 7, 947636), 21.0, 170.0]"
1,"[datetime.datetime(2022, 11, 28, 16, 5, 9, 82582), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 9, 82582), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 9, 82582), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 9, 82582), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 9, 82582), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 9, 82582), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 9, 82582), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 9, 82582), 21.0, 170.0]"
2,"[datetime.datetime(2022, 11, 28, 16, 5, 10, 266760), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 10, 266760), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 10, 266760), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 10, 266760), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 10, 266760), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 10, 266760), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 10, 266760), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 10, 266760), 21.0, 170.0]"
3,"[datetime.datetime(2022, 11, 28, 16, 5, 11, 411975), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 11, 411975), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 11, 411975), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 11, 411975), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 11, 411975), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 11, 411975), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 11, 411975), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 11, 411975), 21.0, 170.0]"
4,"[datetime.datetime(2022, 11, 28, 16, 5, 12, 551038), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 12, 551038), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 12, 551038), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 12, 551038), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 12, 551038), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 12, 551038), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 12, 551038), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 12, 551038), 21.0, 170.0]"
5,"[datetime.datetime(2022, 11, 28, 16, 5, 13, 680345), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 13, 680345), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 13, 680345), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 13, 680345), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 13, 680345), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 13, 680345), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 13, 680345), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 13, 680345), 21.0, 170.0]"
6,"[datetime.datetime(2022, 11, 28, 16, 5, 14, 812843), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 14, 812843), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 14, 812843), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 14, 812843), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 14, 812843), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 14, 812843), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 14, 812843), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 14, 812843), 21.0, 170.0]"
7,"[datetime.datetime(2022, 11, 28, 16, 5, 15, 961476), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 15, 961476), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 15, 961476), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 15, 961476), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 15, 961476), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 15, 961476), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 15, 961476), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 15, 961476), 21.0, 170.0]"
8,"[datetime.datetime(2022, 11, 28, 16, 5, 17, 93714), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 17, 93714), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 17, 93714), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 17, 93714), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 17, 93714), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 17, 93714), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 17, 93714), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 17, 93714), 21.0, 170.0]"
9,"[datetime.datetime(2022, 11, 28, 16, 5, 18, 232068), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 18, 232068), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 18, 232068), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 18, 232068), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 18, 232068), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 18, 232068), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 18, 232068), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 18, 232068), 21.0, 170.0]"
10,"[datetime.datetime(2022, 11, 28, 16, 5, 19, 362460), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 19, 362460), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 19, 362460), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 19, 362460), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 19, 362460), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 19, 362460), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 19, 362460), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 19, 362460), 21.0, 170.0]"
11,"[datetime.datetime(2022, 11, 28, 16, 5, 20, 500869), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 20, 500869), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 20, 500869), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 20, 500869), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 20, 500869), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 20, 500869), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 20, 500869), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 20, 500869), 21.0, 170.0]"
12,"[datetime.datetime(2022, 11, 28, 16, 5, 21, 628432), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 21, 628432), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 21, 628432), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 21, 628432), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 21, 628432), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 21, 628432), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 21, 628432), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 21, 628432), 21.0, 170.0]"
13,"[datetime.datetime(2022, 11, 28, 16, 5, 22, 953118), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 22, 953118), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 22, 953118), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 22, 953118), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 22, 953118), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 22, 953118), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 22, 953118), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 22, 953118), 21.0, 170.0]"
14,"[datetime.datetime(2022, 11, 28, 16, 5, 24, 168989), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 5, 24, 168989), 2.8, 4.3]","[datetime.datetime(2022, 11, 28, 16, 5, 24, 168989), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 5, 24, 168989), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 24, 168989), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 5, 24, 168989), 12.0, 30.0]","[datetime.datetime(2022, 11, 28, 16, 5, 24, 168989), 3.9, 7.0]","[datetime.datetime(2022, 11, 28, 16, 5, 24, 168989), 21.0, 170.0]"
