,Up There Billy,Aston Carlos,Curls Victory,Woodside Zulu,Dash Home,Just Buffy,Denzell Bale
10-01-2023 11:58:00.870313,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:01.883437,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:02.974185,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:03.990686,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:04.979411,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:06.131168,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:07.093431,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:08.221316,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:09.273470,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:10.308249,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:11.380309,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:12.401786,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:13.353442,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:14.359266,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:15.344084,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:16.409211,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:17.653228,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:18.702149,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:19.632583,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:20.570938,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:21.562448,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:22.575205,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:23.622086,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:24.688090,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:26.009258,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:27.040795,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:28.040751,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:29.034285,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:30.002616,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:30.987596,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
