,Lady Miki,Mon Soleil,Best Back Bruce,Kia Ora Beauty,Caledonian Terra,Morvah,Sunshine Warrior,Hameldaeme,Well Said Harps,Lenard Ess
11-01-2023 19:49:02.526429,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:04.097172,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:05.569498,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:07.033330,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 10.0)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 65.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:08.556770,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 10.0)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:10.103662,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 10.0)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:11.688801,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 10.0)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:13.125143,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.666666666666666)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:14.671163,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 10.0)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:16.114879,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
