,Go Goose Go,Agent Eleven,Mine Master,Aston Scepter,Finniss Blossom,Argent Street
14-12-2022 13:47:17.171914,"(3.0, 5.1, 3.5839024390243903)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 17.375)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:18.201739,"(3.0, 5.1, 3.324)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.737500000000001)","(13.0, 29.0, 23.833333333333336)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:19.490461,"(3.0, 5.1, 3.324)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:20.693847,"(3.0, 5.1, 3.324)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:21.860835,"(3.0, 5.1, 3.324)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:22.848838,"(3.0, 5.1, 3.324)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:23.838477,"(3.0, 5.1, 3.324)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:24.915782,"(3.0, 5.1, 3.2333333333333334)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:26.020748,"(3.0, 5.1, 3.2333333333333334)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:27.059011,"(3.0, 5.1, 3.2333333333333334)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:28.015511,"(3.0, 5.1, 3.2333333333333334)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:29.015449,"(3.0, 5.1, 3.2333333333333334)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.737500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:29.946524,"(3.0, 5.1, 3.2333333333333334)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:30.902090,"(3.0, 5.0, 3.775)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:32.011494,"(3.0, 5.0, 3.775)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:33.063181,"(3.0, 5.0, 3.775)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
