,Lightning Jack,Bankx Turbo,Amicus Brief,Pirate Rick,Hes A Fine Man,Payster,Sheltowees Bali,Hiding The Brick
15-12-2022 12:25:51.133614,"(31.0, 220.0, 124.5)","(17.0, 300.0, 160.5)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 69.14285714285714)","(41.0, 440.0, 244.0)","(15.0, 55.0, 41.4)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:25:52.162741,"(31.0, 220.0, 124.5)","(17.0, 300.0, 160.5)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 69.14285714285714)","(41.0, 440.0, 244.0)","(15.0, 55.0, 41.4)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:25:53.212278,"(31.0, 220.0, 124.5)","(17.0, 300.0, 160.5)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 69.14285714285714)","(41.0, 440.0, 244.0)","(15.0, 55.0, 41.4)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:25:54.165851,"(31.0, 220.0, 124.5)","(17.0, 300.0, 160.5)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 69.14285714285714)","(41.0, 440.0, 239.0)","(15.0, 55.0, 41.4)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:25:55.153694,"(31.0, 220.0, 124.5)","(17.0, 300.0, 160.5)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 69.14285714285714)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.4)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:25:56.134756,"(31.0, 220.0, 124.5)","(17.0, 300.0, 192.69230769230768)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 69.14285714285714)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:25:57.152866,"(31.0, 220.0, 124.5)","(17.0, 300.0, 126.25)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 69.14285714285714)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:25:58.193792,"(31.0, 220.0, 124.5)","(17.0, 300.0, 126.25)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 76.88888888888889)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:25:59.218357,"(31.0, 220.0, 124.5)","(17.0, 300.0, 126.25)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 75.0)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:00.266801,"(31.0, 220.0, 124.5)","(17.0, 300.0, 70.0)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 75.0)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 27.227272727272727)"
15-12-2022 12:26:01.277625,"(31.0, 220.0, 124.5)","(17.0, 300.0, 70.0)","(7.0, 90.0, 58.5)","(1.16, 1.29, 1.2607692307692309)","(41.0, 100.0, 78.57142857142857)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:02.530005,"(31.0, 220.0, 124.5)","(17.0, 300.0, 79.2)","(7.0, 90.0, 58.5)","(1.16, 1.28, 1.2602702702702704)","(41.0, 100.0, 85.71428571428572)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:03.532501,"(31.0, 220.0, 124.5)","(17.0, 300.0, 93.0)","(7.0, 90.0, 48.0)","(1.16, 1.27, 1.2556)","(41.0, 100.0, 85.71428571428572)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:04.532196,"(31.0, 220.0, 124.5)","(17.0, 300.0, 93.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2437994722955146)","(41.0, 100.0, 85.71428571428572)","(41.0, 430.0, 239.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:05.588293,"(31.0, 220.0, 124.5)","(17.0, 300.0, 93.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2434615384615384)","(41.0, 100.0, 85.71428571428572)","(41.0, 420.0, 269.6)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:06.644913,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2434615384615384)","(41.0, 100.0, 85.71428571428572)","(41.0, 410.0, 263.6)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:07.732008,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2434615384615384)","(41.0, 100.0, 85.71428571428572)","(41.0, 410.0, 228.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:08.829893,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2433333333333334)","(41.0, 100.0, 85.71428571428572)","(41.0, 410.0, 228.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
