,My Fathers Son,Galloping Speed,Midnight Rocker,Valor Bale,My Bonneville,Greysynd Shock,Zipping Crusader,Apache Shout
07-01-2023 19:40:47.404162,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 28.0, 25.5)"
07-01-2023 19:40:48.936375,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 28.0, 25.5)"
07-01-2023 19:40:50.573976,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 28.0, 25.5)"
07-01-2023 19:40:52.132824,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 28.0, 25.5)"
07-01-2023 19:40:53.644060,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:40:55.084323,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:40:56.497280,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:40:57.859474,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:40:59.234732,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:00.602618,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:01.970377,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:03.346300,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:04.689870,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:06.011685,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:07.313180,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:08.597893,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:10.034211,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:11.393381,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:12.705560,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:14.030140,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:15.393150,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:16.729344,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:18.056620,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:19.400595,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:20.689069,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:22.018484,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 5.4941176470588236)","(5.5, 9.0, 5.96)","(13.0, 30.0, 28.299999999999997)","(12.0, 28.0, 27.77173913043478)"
07-01-2023 19:41:23.471767,"(51.0, 500.0, 425.0)","(71.0, 580.0, 535.0)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 6.2, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 28.0, 24.836956521739133)"
07-01-2023 19:41:25.008774,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:26.695192,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:28.679256,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:30.622713,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:32.855220,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:34.410162,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:35.699206,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:36.950568,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:38.368867,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:39.756083,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:41.146548,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:42.518477,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:43.875152,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:45.227514,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:46.643491,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:48.028695,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:49.402551,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:50.796950,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
07-01-2023 19:41:52.121274,"(51.0, 500.0, 450.0)","(71.0, 580.0, 457.5)","(4.2, 9.4, 9.095744680851064)","(2.35, 3.85, 2.9840909090909093)","(3.7, 5.0, 4.391304347826087)","(5.5, 9.0, 5.96)","(13.0, 30.0, 26.7)","(12.0, 25.0, 24.836956521739133)"
