,Seaton Key,Big Ram,Showtime Holly,Pistols At Dawn,Eyes On Meg,Hidden Fury,Calibration
07-12-2022 20:19:45.012046,"(1.6, 2.38, 2.289230769230769)","(51.0, 440.0, 361.6363636363636)","(3.2, 4.8, 3.8800000000000003)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:46.058053,"(1.6, 2.28, 2.035)","(51.0, 480.0, 361.6363636363636)","(3.2, 4.9, 3.8800000000000003)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:47.159037,"(1.6, 2.28, 2.035)","(51.0, 480.0, 361.6363636363636)","(3.2, 4.9, 3.8800000000000003)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:48.167821,"(1.6, 2.28, 2.035)","(51.0, 480.0, 361.6363636363636)","(3.2, 5.1, 4.15)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:49.117223,"(1.6, 2.28, 2.035)","(51.0, 480.0, 361.6363636363636)","(3.2, 5.1, 4.15)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:50.216238,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.5600000000000005)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:51.354358,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.5600000000000005)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:52.431532,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.5600000000000005)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:53.518712,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.5600000000000005)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:54.630756,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.3500000000000005)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
