,Soopat,Jumping Power Two,Lavish Lady,So Extra,The Mitchell Snail,Empress Cleopatra,Jackal,Rust,Colonel Von Trapp
12-01-2023 11:58:11.780093,"(2.7, 2.9, 2.8145454545454545)","(2.15, 2.36, 2.3505263157894736)","(7.0, 13.5, 11.78)","(4.6, 9.0, 7.075)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:12.970799,"(2.7, 2.96, 2.8145454545454545)","(2.15, 2.36, 2.3505263157894736)","(7.0, 13.5, 11.78)","(4.6, 9.0, 7.075)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:14.195287,"(2.7, 2.96, 2.8145454545454545)","(2.15, 2.36, 2.3505263157894736)","(7.0, 13.5, 11.78)","(4.6, 9.0, 7.075)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:15.447022,"(2.7, 2.96, 2.8145454545454545)","(2.15, 2.36, 2.3505263157894736)","(7.0, 13.5, 11.78)","(4.6, 9.0, 7.075)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:16.808649,"(2.7, 2.94, 2.8127272727272725)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:18.367438,"(2.7, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:19.597147,"(2.7, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:20.777343,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:21.887470,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:23.107406,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:24.260982,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3099999999999996)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:25.470045,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3099999999999996)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:26.678784,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3099999999999996)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:27.817087,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:29.367213,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:30.689774,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:31.907227,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:33.096897,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:34.260200,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:35.427094,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:36.616847,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:37.918892,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:39.116727,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
