,Lions Tooth,Taspinaro,Coronation Veronic,Saxon Mist,Labby Rock,Techno Awards,Another Prediction,Baheera,Punk Princess
07-12-2022 20:35:18.735696,"(4.2, 4.8, 4.51875)","(15.0, 22.0, 20.0)","(6.0, 8.8, 8.426666666666668)","(5.0, 7.4, 7.04)","(6.0, 8.2, 8.17142857142857)","(61.0, 110.0, 135.0)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.2)","(5.0, 6.0, 5.785714285714286)"
07-12-2022 20:35:20.049681,"(4.2, 5.0, 4.6117647058823525)","(15.0, 21.0, 20.0)","(6.0, 8.8, 8.426666666666668)","(5.0, 7.4, 7.04)","(6.0, 8.2, 8.17142857142857)","(61.0, 150.0, 111.42857142857143)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.2)","(5.0, 6.0, 5.785714285714286)"
07-12-2022 20:35:21.246042,"(4.2, 5.0, 4.666666666666666)","(15.0, 21.0, 20.294117647058822)","(6.0, 8.8, 8.426666666666668)","(5.0, 7.4, 6.92)","(6.0, 8.2, 8.17142857142857)","(61.0, 140.0, 103.63636363636364)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.2)","(5.0, 6.0, 5.785714285714286)"
07-12-2022 20:35:22.434964,"(4.2, 5.0, 4.666666666666666)","(15.0, 21.0, 20.0)","(6.0, 8.8, 8.436363636363637)","(5.0, 7.4, 6.92)","(6.0, 8.2, 8.17142857142857)","(61.0, 140.0, 108.0)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.2)","(5.0, 6.0, 5.785714285714286)"
07-12-2022 20:35:23.701524,"(4.2, 5.0, 4.666666666666666)","(15.0, 21.0, 20.1)","(6.0, 8.8, 8.426666666666668)","(5.0, 7.4, 7.04)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.2)","(5.0, 6.0, 5.785714285714286)"
07-12-2022 20:35:24.918703,"(4.2, 5.0, 4.666666666666666)","(15.0, 21.0, 20.1)","(6.0, 8.8, 8.426666666666668)","(5.0, 7.4, 7.04)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.2)","(5.0, 6.0, 5.785714285714286)"
07-12-2022 20:35:26.125687,"(4.2, 5.0, 4.666666666666666)","(15.0, 21.0, 20.1)","(6.0, 8.8, 8.426666666666668)","(5.0, 7.4, 7.04)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.2)","(5.0, 6.0, 5.785714285714286)"
07-12-2022 20:35:27.334864,"(4.2, 5.0, 4.666666666666666)","(15.0, 21.0, 20.1)","(6.0, 8.8, 8.426666666666668)","(5.0, 7.4, 6.92)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.0, 5.714285714285714)"
07-12-2022 20:35:28.584202,"(4.2, 5.0, 4.615384615384615)","(15.0, 21.0, 20.1)","(6.0, 8.8, 8.426666666666668)","(5.0, 7.4, 6.92)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.4, 6.1)"
07-12-2022 20:35:29.754884,"(4.2, 5.0, 4.613793103448275)","(15.0, 21.0, 20.1)","(6.0, 8.8, 8.426666666666668)","(5.0, 7.4, 6.92)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 6.171428571428572)"
07-12-2022 20:35:30.936371,"(4.2, 5.0, 4.615384615384615)","(15.0, 21.0, 20.1)","(6.0, 9.0, 8.7)","(5.0, 7.4, 6.92)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.4, 6.171428571428572)"
07-12-2022 20:35:32.123275,"(4.2, 5.0, 4.615384615384615)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.7)","(5.0, 7.4, 6.92)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.4, 5.757894736842105)"
07-12-2022 20:35:33.366761,"(4.2, 5.0, 4.615384615384615)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.7)","(5.0, 7.4, 7.16)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.757894736842105)"
07-12-2022 20:35:34.601970,"(4.2, 5.0, 4.615384615384615)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.676923076923076)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 75.0, 65.71428571428571)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.72)"
07-12-2022 20:35:35.802137,"(4.2, 4.9, 4.611111111111111)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.676923076923076)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 65.45454545454545)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.72)"
07-12-2022 20:35:37.028859,"(4.2, 4.9, 4.611111111111111)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.676923076923076)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 65.45454545454545)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.8)"
07-12-2022 20:35:38.188379,"(4.2, 4.9, 4.611111111111111)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.676923076923076)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 65.45454545454545)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.8)"
07-12-2022 20:35:39.340445,"(4.2, 4.9, 4.816923076923077)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.533333333333333)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 65.625)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.8)"
07-12-2022 20:35:40.523522,"(4.2, 4.9, 4.816923076923077)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.533333333333333)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 65.625)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.8)"
