,Dayseas Rikki,Booming Boo Boo,Spring Demon,Vixon Lad,Jameson Bay,Identity Thief,Jamie Tartt,Katara Love
10-01-2023 16:39:15.469456,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:16.685228,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:17.871492,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:19.028741,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:20.138189,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:21.324070,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:22.366321,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:23.450784,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:24.571399,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:25.650711,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
