,Kingsbrae Demon,Marinus,Double Charming,Dasha Tullamore,Kingsbrae Noel,Expert Tease,Blazing Bonus,Fly Tom
12-01-2023 11:28:51.326977,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:28:52.375654,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:28:53.468481,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:28:54.606882,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:28:55.720483,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:28:56.841116,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:28:57.853659,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:28:58.966706,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:00.186823,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:01.214847,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 9.209090909090909)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
