,Emerley Bruce,Allinga Chloe,Allinga Lily,Loving The Cash,Paramount State,Correlate,Dark Compass,Queen Of Scotch
16-12-2022 12:22:43.314929,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:44.399365,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:45.424244,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:46.473893,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:47.528878,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:48.556550,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:49.592767,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:50.649611,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:51.675526,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:52.681826,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
