,Cedars Wish,Ghostly Squall,Timetogetup,Aims Jubilee,Emberly,Shenandoah Cat,Slewing,Windsors Play,All Caps,Charitable Any
15-12-2022 13:25:42.507539,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:43.881759,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:45.266800,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:46.661415,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:47.982442,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:49.292369,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:50.618342,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:51.959550,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:53.265659,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:54.608051,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
