,Carlos Jewel,Diamond Alex,Iced Mocha,Go Hazel,Sefton Heights,Zipping Chassis,Opawa Solomon,Diamond Neena
15-12-2022 14:42:53.568084,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.55)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:42:54.741785,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.55)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:42:55.823974,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.45)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:42:56.949254,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.45)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:42:58.002922,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.45)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:42:59.113490,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:00.117508,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:01.216305,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:02.376299,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:03.468858,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
