,Gulf Of Tomini,Hombre Grande,Buff In Disguise,Jahbath,Savant De Lune,Port Of Jeddah,Amy Ekcels,La Marsa
0,"[datetime.datetime(2022, 11, 28, 12, 58, 41, 647993), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 41, 647993), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 41, 647993), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 41, 647993), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 41, 647993), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 41, 647993), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 41, 647993), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 41, 647993), 15.0, 32.0]"
1,"[datetime.datetime(2022, 11, 28, 12, 58, 42, 776900), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 42, 776900), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 42, 776900), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 42, 776900), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 42, 776900), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 42, 776900), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 42, 776900), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 42, 776900), 15.0, 32.0]"
2,"[datetime.datetime(2022, 11, 28, 12, 58, 43, 915530), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 915530), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 915530), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 915530), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 915530), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 915530), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 915530), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 43, 915530), 15.0, 32.0]"
3,"[datetime.datetime(2022, 11, 28, 12, 58, 45, 61378), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 61378), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 61378), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 61378), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 61378), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 61378), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 61378), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 45, 61378), 15.0, 32.0]"
4,"[datetime.datetime(2022, 11, 28, 12, 58, 46, 206711), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 46, 206711), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 46, 206711), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 46, 206711), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 46, 206711), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 46, 206711), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 46, 206711), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 46, 206711), 15.0, 32.0]"
5,"[datetime.datetime(2022, 11, 28, 12, 58, 47, 356295), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 356295), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 356295), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 356295), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 356295), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 356295), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 356295), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 47, 356295), 15.0, 32.0]"
6,"[datetime.datetime(2022, 11, 28, 12, 58, 48, 494664), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 494664), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 494664), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 494664), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 494664), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 494664), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 494664), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 48, 494664), 15.0, 32.0]"
7,"[datetime.datetime(2022, 11, 28, 12, 58, 49, 631599), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 631599), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 631599), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 631599), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 631599), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 631599), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 631599), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 49, 631599), 15.0, 32.0]"
8,"[datetime.datetime(2022, 11, 28, 12, 58, 50, 760211), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 760211), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 760211), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 760211), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 760211), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 760211), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 760211), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 50, 760211), 15.0, 32.0]"
9,"[datetime.datetime(2022, 11, 28, 12, 58, 51, 886972), 3.2, 3.95]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 886972), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 886972), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 886972), 8.5, 12.0]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 886972), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 886972), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 886972), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 12, 58, 51, 886972), 15.0, 32.0]"
