,Springfield Spirit,Khulan Kid,Sure Thing Captain,Our Boy Roy,Blue Shard,Borderline,Braeview Fella,Redbank Molly,Shez All Style
10-01-2023 14:46:09.869802,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 10.033333333333333)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:11.072307,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 10.033333333333333)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:12.317350,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 10.033333333333333)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:13.531301,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 10.033333333333333)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:14.658301,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:15.788862,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:17.002964,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:18.184819,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:19.377604,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:20.587651,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:21.780395,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
