,Real Cute,Good Grab,Tecoma Street,Yakutsk,Spirit Of Luck,Baba Vanga,Hedonie,Heros Trinket,Lively Lass,Say Goodbye,Angels Voice
12-01-2023 14:20:50.548241,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 36.0, 29.875)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.278787878787879)","(4.4, 6.8, 6.646808510638298)","(26.0, 60.0, 54.411764705882355)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:52.395779,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 36.0, 29.875)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276760563380282)","(4.4, 6.8, 6.646808510638298)","(26.0, 55.0, 54.411764705882355)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:54.152057,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 36.0, 29.875)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276760563380282)","(4.4, 6.8, 6.646808510638298)","(26.0, 55.0, 63.75)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:55.869644,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 36.0, 29.875)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.278787878787879)","(4.4, 6.8, 6.646808510638298)","(26.0, 65.0, 63.75)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:57.689188,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 36.0, 29.875)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276760563380282)","(4.4, 6.8, 6.646808510638298)","(26.0, 65.0, 63.75)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:59.392495,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 36.0, 29.875)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276760563380282)","(4.4, 6.8, 6.646808510638298)","(26.0, 65.0, 54.23076923076923)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:21:01.170687,"(15.0, 23.0, 21.0)","(4.6, 6.4, 6.278260869565218)","(21.0, 36.0, 29.875)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276760563380282)","(4.4, 6.8, 6.646808510638298)","(26.0, 55.0, 54.411764705882355)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:21:03.273340,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 36.0, 29.875)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276760563380282)","(4.4, 6.8, 6.646808510638298)","(26.0, 55.0, 54.411764705882355)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:21:05.416164,"(15.0, 23.0, 19.0625)","(4.6, 6.4, 6.273684210526316)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.631818181818182)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276388888888889)","(4.4, 6.8, 6.691666666666666)","(26.0, 55.0, 63.75)","(51.0, 130.0, 74.28571428571429)","(20.0, 26.0, 24.4)"
12-01-2023 14:21:07.302190,"(15.0, 23.0, 19.966666666666665)","(4.6, 6.4, 6.24)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.1893939393939394)","(4.4, 6.8, 6.691666666666666)","(26.0, 65.0, 56.470588235294116)","(51.0, 130.0, 74.28571428571429)","(20.0, 26.0, 24.5)"
12-01-2023 14:21:09.220087,"(15.0, 23.0, 20.083333333333332)","(4.6, 6.4, 6.24)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.176865671641791)","(4.4, 6.8, 6.691666666666666)","(26.0, 60.0, 56.470588235294116)","(51.0, 120.0, 101.66666666666666)","(20.0, 26.0, 24.5)"
