,Writing Unexpected,Insider Trader,Devil Racer,Summer In Siam,Hide Your Heart,Enduring Night,No Impediment,Super Vino,Star Mission,Tip Top Timing,Westgrove
08-01-2023 15:06:11.292057,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 92.4)","(10.0, 12.5, 11.966666666666667)","(13.0, 25.0, 17.0)","(4.0, 7.0, 5.859999999999999)","(7.0, 9.6, 8.33548387096774)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:12.566947,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 92.4)","(10.0, 12.5, 11.966666666666667)","(13.0, 23.0, 17.0)","(4.0, 7.0, 5.859999999999999)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:13.900852,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 92.4)","(10.0, 12.5, 11.966666666666667)","(13.0, 23.0, 17.0)","(4.0, 7.0, 5.859999999999999)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:15.170847,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 92.4)","(10.0, 12.5, 11.966666666666667)","(13.0, 23.0, 17.0)","(4.0, 7.0, 5.859999999999999)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:16.446266,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 92.4)","(10.0, 12.5, 11.966666666666667)","(13.0, 23.0, 17.0)","(4.0, 7.0, 5.859999999999999)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:17.736265,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 92.4)","(10.0, 12.5, 11.966666666666667)","(13.0, 23.0, 17.0)","(4.0, 7.0, 5.859999999999999)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:19.343274,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 23.0, 17.0)","(4.0, 7.0, 5.859999999999999)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:20.750080,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 23.0, 19.615384615384613)","(4.0, 7.0, 5.859999999999999)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:22.135160,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 23.0, 19.625)","(4.0, 7.0, 5.167857142857143)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:23.415835,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 22.0, 19.625)","(4.0, 7.0, 5.6)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:24.653237,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 22.0, 19.625)","(4.0, 6.6, 5.6)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:25.967078,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 22.0, 19.625)","(4.0, 6.6, 5.6)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
