,Lucky Jim,Agent Starling,Madrigal Nz,Certainlycallitin,As She Says,Mullum Doc,Dont Fear For Me,Jakki Mun,Major Rumble
05-01-2023 12:24:39.002370,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:40.146077,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:41.350306,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:42.549185,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:43.754962,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:44.948888,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:46.208167,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:47.420617,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:48.649432,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:49.874249,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
