,Natural Action,Avianna,My Names Stacey,Maximum Brooke,Thybulle Bale,Malo Magic
10-01-2023 15:59:42.812448,"(18.0, 55.0, 28.090909090909093)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:44.044549,"(18.0, 55.0, 28.090909090909093)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:45.214800,"(18.0, 55.0, 28.090909090909093)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:46.462431,"(18.0, 55.0, 28.090909090909093)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:47.762156,"(18.0, 55.0, 28.090909090909093)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:48.885336,"(18.0, 55.0, 28.090909090909093)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:50.072328,"(18.0, 55.0, 28.090909090909093)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:51.303229,"(18.0, 55.0, 28.090909090909093)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:52.634736,"(18.0, 55.0, 33.0)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:54.091792,"(18.0, 55.0, 33.0)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:55.227258,"(18.0, 55.0, 33.0)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:56.411512,"(18.0, 55.0, 33.0)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:57.589572,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:58.723809,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 15:59:59.862045,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 16:00:00.988066,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.341333333333333)"
10-01-2023 16:00:02.155823,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.7760000000000002)"
10-01-2023 16:00:03.328449,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:04.495608,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:05.622610,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:06.773524,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:07.935148,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:09.192499,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 11.17142857142857)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:10.430623,"(18.0, 55.0, 27.363636363636363)","(7.0, 14.0, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:11.549560,"(18.0, 80.0, 51.13636363636363)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:12.772572,"(18.0, 60.0, 40.22727272727273)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:13.920367,"(18.0, 60.0, 40.22727272727273)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:15.178743,"(18.0, 60.0, 40.22727272727273)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:16.307771,"(18.0, 60.0, 40.22727272727273)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:17.355122,"(18.0, 60.0, 40.22727272727273)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:18.476736,"(18.0, 60.0, 40.22727272727273)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:19.571994,"(18.0, 60.0, 40.22727272727273)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:20.627878,"(18.0, 60.0, 40.22727272727273)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:21.730723,"(18.0, 60.0, 40.22727272727273)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.613793103448276)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 9.428571428571429)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:22.811863,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.613793103448276)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 9.1)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:23.761613,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.475)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 9.1)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:24.786419,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.475)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 9.1)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:25.761372,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:26.810010,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:27.750382,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:28.639105,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:29.641498,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:30.586660,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:31.575098,"(18.0, 60.0, 33.125)","(7.0, 14.5, 9.981818181818182)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
