,Alpha Sheldon,Alpha Rambo,Big Time Tesla,Allegro Flippy,Giant Lurch,Thrilling Vespa,Sweet Silver
06-01-2023 13:32:11.414399,"(14.0, 32.0, 17.0)","(12.0, 24.0, 16.84375)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 130.0, 52.11538461538461)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:12.550579,"(14.0, 32.0, 17.0)","(12.0, 25.0, 16.84375)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 130.0, 52.11538461538461)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:13.632725,"(14.0, 32.0, 17.0)","(12.0, 25.0, 21.77777777777778)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 130.0, 52.11538461538461)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:14.572964,"(14.0, 32.0, 17.0)","(12.0, 25.0, 21.77777777777778)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 130.0, 52.11538461538461)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:15.531847,"(14.0, 32.0, 17.0)","(12.0, 25.0, 21.77777777777778)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 130.0, 52.11538461538461)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:16.506641,"(14.0, 32.0, 17.0)","(12.0, 25.0, 21.77777777777778)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 130.0, 52.11538461538461)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:17.468772,"(14.0, 32.0, 17.0)","(12.0, 25.0, 21.77777777777778)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 130.0, 52.11538461538461)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:18.470617,"(14.0, 32.0, 17.0)","(12.0, 25.0, 21.77777777777778)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 130.0, 52.11538461538461)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:19.419790,"(14.0, 32.0, 17.0)","(12.0, 25.0, 21.77777777777778)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:20.451787,"(14.0, 32.0, 17.0)","(12.0, 25.0, 23.1875)","(7.0, 13.5, 12.854545454545455)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:21.476029,"(14.0, 32.0, 17.0)","(12.0, 25.0, 21.77777777777778)","(7.0, 14.5, 13.149999999999999)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:22.530423,"(14.0, 32.0, 17.0)","(12.0, 25.0, 21.77777777777778)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:23.577647,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:24.609058,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:25.675809,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:26.630368,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:27.549507,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:28.547486,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:29.527149,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:30.566914,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:31.608016,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:32.611080,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:33.713050,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:34.705281,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:35.673569,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:36.763376,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:37.766722,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:38.811069,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:39.816439,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:40.769402,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:41.706775,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
