,Minter Spice,Rocky Dingo,Agent Jesse,Minter Win,Mega Banjo Boy,Cross The River
10-01-2023 17:49:32.645568,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 4.625)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 5.884615384615385)"
10-01-2023 17:49:33.666718,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 4.625)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 5.884615384615385)"
10-01-2023 17:49:34.559939,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 4.625)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 5.884615384615385)"
10-01-2023 17:49:35.428243,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 4.195454545454545)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 5.884615384615385)"
10-01-2023 17:49:36.383871,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 4.195454545454545)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 5.884615384615385)"
10-01-2023 17:49:37.377139,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 4.195454545454545)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 5.884615384615385)"
10-01-2023 17:49:38.384757,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 4.195454545454545)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 5.884615384615385)"
10-01-2023 17:49:39.386742,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 5.884615384615385)"
10-01-2023 17:49:40.255837,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 6.491666666666667)"
10-01-2023 17:49:41.143597,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 6.491666666666667)"
