,Lensman,I Am Richenuff,Harderthantherest,Exalted Dennis,Foxtrot Bravo,Garratt Road,Costaway,Blazing Zone,Jeddalet,Wicked Redoutes
05-01-2023 14:57:32.344462,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:33.543195,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:34.764262,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:35.998041,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:37.250708,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:38.484331,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:39.764455,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:41.044274,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:42.359832,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:43.607091,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
