,Live A Good Life,Hammering Lemon,Foreman,Last Renegade,Imperator,Add On,Irish Knight,Minehunter,Blessed Brother
11-01-2023 08:07:07.160690,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:08.400851,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:09.521401,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:10.613912,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:11.684597,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:12.847984,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:13.979601,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:15.250556,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:16.378963,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:17.462373,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:18.585975,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:19.710163,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
