,Priddy Sublime,Stepping Stones,Magic Pebbles,Szabolski Leis,Nine Diamonds,Machs Mareta Nz,Mia Ragazza Nz,Major Grace Nz,Juniper,Nova Baxter
08-01-2023 16:54:24.040968,"(41.0, 95.0, 69.0)","(6.5, 10.0, 7.9)","(8.5, 14.5, 13.175)","(17.0, 26.0, 23.818181818181817)","(51.0, 140.0, 83.33333333333333)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 20.799999999999997)","(9.0, 15.0, 13.4)"
08-01-2023 16:54:25.286491,"(41.0, 95.0, 69.0)","(6.5, 10.0, 7.9)","(8.5, 14.5, 13.175)","(17.0, 26.0, 23.818181818181817)","(51.0, 140.0, 83.33333333333333)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 20.799999999999997)","(9.0, 15.0, 13.4)"
08-01-2023 16:54:26.510071,"(41.0, 95.0, 69.0)","(6.5, 10.0, 7.9)","(8.5, 14.5, 13.175)","(17.0, 26.0, 23.818181818181817)","(51.0, 140.0, 83.33333333333333)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 20.799999999999997)","(9.0, 15.0, 13.4)"
08-01-2023 16:54:27.806122,"(41.0, 95.0, 69.0)","(6.5, 10.0, 7.9)","(8.5, 14.5, 13.175)","(17.0, 26.0, 23.818181818181817)","(51.0, 140.0, 83.33333333333333)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 20.799999999999997)","(9.0, 15.0, 13.4)"
08-01-2023 16:54:29.062712,"(41.0, 95.0, 69.0)","(6.5, 10.0, 7.9)","(8.5, 14.5, 13.175)","(17.0, 26.0, 23.818181818181817)","(51.0, 140.0, 83.33333333333333)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 20.799999999999997)","(9.0, 15.0, 13.4)"
08-01-2023 16:54:30.358338,"(41.0, 95.0, 69.0)","(6.5, 10.0, 7.9)","(8.5, 14.5, 13.175)","(17.0, 26.0, 23.818181818181817)","(51.0, 140.0, 83.33333333333333)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.266666666666666)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:31.705721,"(41.0, 95.0, 77.0)","(6.5, 10.0, 7.9)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.266666666666666)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:33.032162,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.8)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.266666666666666)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:34.369455,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.8)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:35.701293,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
